證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1304,台聚         ,20130102,0,0,3286,76.56,82,1.91,429345,10003.74,192,87,0.29,0,0,0
1304,台聚         ,20130103,-2,-0.05,3284,76.68,42,0.98,429387,10026.19,60,17,0.29,0,2,0
1304,台聚         ,20130104,-1,-0.02,3283,78.63,620,14.85,430046,10299.6,912,754,0.29,0,1,0
1304,台聚         ,20130107,15,0.38,3298,83.11,384,9.68,430430,10846.84,351,444,0.29,18,3,0
1304,台聚         ,20130108,-2,-0.05,3296,80.92,-437,-10.73,430133,10559.77,284,598,0.29,0,2,0
1304,台聚         ,20130109,0,0,3296,80.59,-47,-1.15,430046,10514.62,79,139,0.29,0,0,0
1304,台聚         ,20130110,0,0,3296,80.75,214,5.24,430260,10541.37,554,377,0.29,0,0,0
1304,台聚         ,20130111,6,0.15,3302,81.72,870,21.53,431170,10671.46,1127,351,0.29,6,0,0
1304,台聚         ,20130114,0,0,3302,81.06,-209,-5.13,430981,10580.58,212,93,0.29,0,0,0
1304,台聚         ,20130115,3,0.07,3305,79.65,29,0.7,431010,10387.34,214,7,0.29,3,0,0
1304,台聚         ,20130116,4,0.1,3309,79.42,-405,-9.72,430605,10334.52,104,411,0.29,4,0,0
1304,台聚         ,20130117,4,0.08,3313,76.86,10,0.23,430531,9988.32,488,259,0.29,4,0,0
1304,台聚         ,20130118,0,0,3313,79.18,813,19.43,431364,10309.6,835,20,0.29,0,0,0
1304,台聚         ,20130121,-1,-0.02,3312,78.99,-63,-1.5,431314,10286.84,41,86,0.29,0,1,0
1304,台聚         ,20130122,0,0,3312,78.49,-378,-8.96,430935,10213.16,12,357,0.29,0,0,0
1304,台聚         ,20130123,0,0,3312,77.67,-136,-3.19,430765,10101.44,147,268,0.29,0,0,0
1304,台聚         ,20130124,-4,-0.09,3308,77.08,-549,-12.79,430216,10024.03,167,557,0.29,0,4,0
1304,台聚         ,20130125,-1,-0.02,3307,77.05,-554,-12.91,429720,10012.48,59,518,0.29,0,1,0
1304,台聚         ,20130128,0,0,3307,76.23,-487,-11.23,429236,9893.89,216,668,0.29,0,0,0
1304,台聚         ,20130129,0,0,3307,77.38,-140,-3.28,428939,10037.17,270,407,0.29,0,0,0
1304,台聚         ,20130130,0,0,3307,77.88,199,4.69,429154,10106.58,355,140,0.29,0,0,0
1304,台聚         ,20130131,1,0.02,3308,77.08,-1380,-32.15,427806,9967.88,278,1627,0.29,2,1,0
