證券名稱,簡稱,年月日,投信持股率%,投信持股數(千股),投信買進張數,投信買賣超(千股),投信持股數市值(百萬),投信賣出張數,流通在外股數(千股),投信買賣超市值(百萬),合計持股數(千股),投信週轉率%
6244,茂迪         ,20130102,0.26,1133,500,500,30.82,0,437399,13.6,31711,0.06
6244,茂迪         ,20130103,0.42,1825,692,692,53.11,0,437399,20.14,34068,0.08
6244,茂迪         ,20130104,1.75,7639,5814,5814,237.57,0,437399,180.82,38186,0.66
6244,茂迪         ,20130107,2.09,9148,1509,1509,304.17,0,437399,50.17,41147,0.17
6244,茂迪         ,20130108,2.86,12528,3380,3380,433.47,0,437399,116.95,47316,0.39
6244,茂迪         ,20130109,2.9,12668,140,140,443.38,0,437399,4.9,48328,0.02
6244,茂迪         ,20130110,4,17508,4840,4840,623.28,0,437399,172.3,52875,0.55
6244,茂迪         ,20130111,3.77,16490,0,-1018,595.29,1018,437399,-36.75,52203,0.12
6244,茂迪         ,20130114,3.78,16518,500,28,602.91,472,437399,1.02,48990,0.11
6244,茂迪         ,20130115,3.54,15468,0,-1050,539.83,1050,437399,-36.65,48720,0.12
6244,茂迪         ,20130116,3.37,14727,0,-741,513.97,741,437399,-25.86,45349,0.08
6244,茂迪         ,20130117,3.07,13449,0,-1278,437.09,1278,437399,-41.54,46328,0.15
6244,茂迪         ,20130118,2.94,12847,0,-602,423.31,602,437399,-19.84,45178,0.07
6244,茂迪         ,20130121,2.75,12047,0,-800,401.77,800,437399,-26.68,45584,0.09
6244,茂迪         ,20130122,2.73,11945,400,-102,403.14,502,437399,-3.44,45726,0.1
6244,茂迪         ,20130123,2.73,11945,0,0,404.94,0,437399,0,46184,0
6244,茂迪         ,20130124,2.62,11475,0,-470,392.45,470,437399,-16.07,46291,0.05
6244,茂迪         ,20130125,2.52,11022,0,-453,361.52,453,437399,-14.86,46639,0.05
6244,茂迪         ,20130128,2.44,10688,0,-334,355.38,334,437399,-11.11,46385,0.04
6244,茂迪         ,20130129,2.44,10688,0,0,356.98,0,437399,0,46908,0
6244,茂迪         ,20130130,2.44,10688,0,0,364.46,0,437399,0,47001,0
6244,茂迪         ,20130131,2.44,10688,0,0,353.77,0,437399,0,46930,0
6244,茂迪         ,20130201,2.26,9888,0,-800,317.9,800,437399,-25.72,45822,0.09
6244,茂迪         ,20130204,2.11,9229,8,-659,295.33,667,437399,-21.09,45138,0.08
6244,茂迪         ,20130205,2.11,9229,0,0,299.94,0,437399,0,45005,0
6244,茂迪         ,20130206,2.04,8915,0,-314,281.27,314,437399,-9.91,43710,0.04
6244,茂迪         ,20130218,1.96,8593,0,-322,274.98,322,437399,-10.3,42402,0.04
6244,茂迪         ,20130219,1.76,7680,50,-913,245.76,963,437399,-29.22,43096,0.12
6244,茂迪         ,20130220,1.56,6810,0,-870,217.24,870,437399,-27.75,41612,0.1
6244,茂迪         ,20130221,1.46,6380,70,-430,197.14,500,437399,-13.29,39477,0.07
6244,茂迪         ,20130222,1.35,5890,10,-490,176.41,500,437399,-14.68,39239,0.06
6244,茂迪         ,20130223,1.35,5890,0,0,175.82,0,437399,0,39153,0
6244,茂迪         ,20130225,1.33,5818,0,-72,174.54,72,437399,-2.16,38816,0.01
6244,茂迪         ,20130226,1.17,5100,0,-718,157.08,718,437399,-22.11,39649,0.08
6244,茂迪         ,20130227,1.16,5100,0,0,154.79,0,438671,0,39430,0
6244,茂迪         ,20130301,1.04,4575,0,-525,139.54,525,438671,-16.01,38702,0.06
6244,茂迪         ,20130304,0.9,3950,0,-625,120.08,625,438671,-19,36786,0.07
6244,茂迪         ,20130305,0.95,4170,220,220,127.6,0,438671,6.73,36815,0.03
6244,茂迪         ,20130306,0.88,3839,150,-331,125.54,481,438671,-10.82,36506,0.07
6244,茂迪         ,20130307,0.89,3889,50,50,128.73,0,438671,1.66,37239,0.01
6244,茂迪         ,20130308,0.88,3881,0,-8,127.68,8,438671,-0.26,37593,0
6244,茂迪         ,20130311,0.88,3881,0,0,130.01,0,438671,0,37739,0
6244,茂迪         ,20130312,0.88,3881,0,0,128.46,0,438671,0,37633,0
6244,茂迪         ,20130313,0.88,3881,0,0,124.58,0,438671,0,37119,0
6244,茂迪         ,20130314,0.88,3881,0,0,124.58,0,438671,0,37215,0
6244,茂迪         ,20130315,0.88,3882,1,1,124.03,0,438671,0.03,36197,0
6244,茂迪         ,20130318,0.88,3882,0,0,115.88,0,438671,0,35607,0
6244,茂迪         ,20130319,0.9,3932,50,50,119.34,0,438671,1.52,34783,0.01
6244,茂迪         ,20130320,0.9,3932,0,0,117.96,0,438671,0,34161,0
6244,茂迪         ,20130321,0.9,3932,0,0,117.57,0,438671,0,32165,0
6244,茂迪         ,20130322,0.9,3932,0,0,117.57,0,438671,0,31692,0
6244,茂迪         ,20130325,0.9,3932,0,0,118.16,0,438671,0,31701,0
6244,茂迪         ,20130326,0.9,3932,0,0,116.58,0,438671,0,32049,0
6244,茂迪         ,20130327,0.9,3932,0,0,122.88,0,438671,0,33813,0
6244,茂迪         ,20130328,0.9,3932,0,0,119.93,0,438671,0,30885,0
6244,茂迪         ,20130329,1.89,8281,0,0,260.44,0,438671,0,34327,0
6244,茂迪         ,20130401,1.89,8281,0,0,262.51,0,438671,0,34416,0
6244,茂迪         ,20130402,1.89,8281,0,0,262.51,0,438671,0,32334,0
6244,茂迪         ,20130403,1.9,8331,50,50,263.68,0,438671,1.58,31575,0.01
6244,茂迪         ,20130408,1.9,8331,0,0,245.76,0,438671,0,30122,0
6244,茂迪         ,20130409,1.9,8331,0,0,245.76,0,438671,0,30106,0
6244,茂迪         ,20130410,1.9,8331,0,0,254.51,0,438671,0,30460,0
6244,茂迪         ,20130411,1.9,8331,0,0,250.35,0,438671,0,29958,0
6244,茂迪         ,20130412,1.9,8331,0,0,247.43,0,438671,0,29755,0
6244,茂迪         ,20130415,1.9,8331,0,0,241.6,0,438671,0,30195,0
6244,茂迪         ,20130416,1.9,8331,0,0,239.1,0,438671,0,35095,0
6244,茂迪         ,20130417,1.9,8331,0,0,239.93,0,438671,0,36978,0
6244,茂迪         ,20130418,1.9,8331,0,0,236.6,0,438671,0,39382,0
6244,茂迪         ,20130419,1.9,8324,0,-7,252.63,7,438671,-0.21,38285,0
6244,茂迪         ,20130422,1.94,8504,180,180,255.12,0,438671,5.4,38421,0.02
6244,茂迪         ,20130423,1.95,8574,70,70,255.93,0,438671,2.09,38126,0.01
6244,茂迪         ,20130424,1.98,8674,100,100,259.79,0,438671,3,37080,0.01
6244,茂迪         ,20130425,1.98,8674,0,0,263.26,0,438671,0,37004,0
6244,茂迪         ,20130426,1.76,7724,200,-950,232.88,1150,438671,-28.64,35898,0.15
6244,茂迪         ,20130429,1.76,7724,0,0,241.76,0,438671,0,35958,0
6244,茂迪         ,20130430,1.49,6543,100,-1181,201.85,1281,438671,-36.43,34731,0.16
6244,茂迪         ,20130502,1.36,5974,0,-569,180.41,569,438671,-17.18,34288,0.06
6244,茂迪         ,20130503,1.36,5974,0,0,180.41,0,438671,0,34336,0
6244,茂迪         ,20130506,1.36,5974,0,0,182.21,0,438671,0,35559,0
6244,茂迪         ,20130507,1.36,5974,0,0,190.27,0,438671,0,38010,0
6244,茂迪         ,20130508,1.36,5974,0,0,202.52,0,438671,0,40904,0
6244,茂迪         ,20130509,1.39,6119,145,145,221.81,0,438671,5.26,42691,0.02
6244,茂迪         ,20130510,1.92,8419,2300,2300,306.87,0,438671,83.84,50024,0.26
6244,茂迪         ,20130513,2.35,10312,1893,1893,394.95,0,438671,72.5,53807,0.22
6244,茂迪         ,20130514,2.37,10382,70,70,401.78,0,438671,2.71,56875,0.01
6244,茂迪         ,20130515,2.37,10382,0,0,429.81,0,438671,0,61166,0
6244,茂迪         ,20130516,2.48,10891,509,509,456.33,0,438671,21.33,63291,0.06
6244,茂迪         ,20130517,2.57,11259,418,368,502.71,50,438671,16.43,63714,0.05
6244,茂迪         ,20130520,2.57,11295,336,36,504.32,300,438671,1.61,63216,0.07
6244,茂迪         ,20130521,2.51,11025,50,-270,458.09,320,438671,-11.22,59958,0.04
6244,茂迪         ,20130522,2.47,10835,0,-190,467.53,190,438671,-8.2,60743,0.02
6244,茂迪         ,20130523,2.47,10835,0,0,468.07,0,438671,0,62011,0
6244,茂迪         ,20130524,2.47,10835,0,0,471.86,0,438671,0,63138,0
6244,茂迪         ,20130527,2.47,10835,0,0,466.45,0,438671,0,65213,0
6244,茂迪         ,20130528,2.42,10605,0,-230,463.44,230,438671,-10.05,65225,0.03
6244,茂迪         ,20130529,2.34,10260,0,-345,440.67,345,438671,-14.82,65676,0.04
6244,茂迪         ,20130530,2.33,10215,0,-45,444.35,45,438671,-1.96,65890,0.01
6244,茂迪         ,20130531,2.33,10215,0,0,438.22,0,438671,0,66174,0
6244,茂迪         ,20130603,2.33,10215,0,0,447.42,0,438671,0,66566,0
6244,茂迪         ,20130604,2.33,10215,0,0,461.72,0,438671,0,66875,0
6244,茂迪         ,20130605,2.33,10215,0,0,442.82,0,438671,0,64267,0
6244,茂迪         ,20130606,2.33,10215,0,0,433.63,0,438671,0,65027,0
6244,茂迪         ,20130607,2.33,10215,0,0,408.6,0,438671,0,65188,0
6244,茂迪         ,20130610,2.25,9892,105,-323,401.12,428,438671,-13.1,65210,0.06
6244,茂迪         ,20130611,2.25,9892,0,0,397.16,0,438671,0,65161,0
6244,茂迪         ,20130613,2.26,9927,35,35,402.04,0,438671,1.42,64772,0
6244,茂迪         ,20130614,2.26,9927,0,0,378.72,0,438671,0,64989,0
6244,茂迪         ,20130617,2.26,9927,0,0,383.18,0,438671,0,65503,0
6244,茂迪         ,20130618,2.26,9907,50,-20,386.37,70,438671,-0.78,65335,0.01
6244,茂迪         ,20130619,2.13,9356,50,-551,360.67,601,438671,-21.24,64568,0.07
6244,茂迪         ,20130620,2.07,9086,0,-270,341.63,270,438671,-10.15,63992,0.03
6244,茂迪         ,20130621,1.95,8534,0,-552,315.76,552,438671,-20.42,63247,0.06
6244,茂迪         ,20130624,1.69,7434,0,-1100,269.11,1100,438671,-39.82,58593,0.13
6244,茂迪         ,20130625,1.58,6914,30,-520,239.22,550,438671,-17.99,58069,0.07
6244,茂迪         ,20130626,1.55,6802,0,-112,251.67,112,438671,-4.14,57982,0.01
6244,茂迪         ,20130627,1.55,6802,0,0,257.12,0,438671,0,57678,0
6244,茂迪         ,20130628,0.39,1702,0,-680,64.42,680,438671,-25.74,52164,0.08
6244,茂迪         ,20130701,0.4,1737,35,35,68,0,438671,1.37,51707,0
6244,茂迪         ,20130702,0.4,1737,0,0,66.96,0,438671,0,51582,0
6244,茂迪         ,20130703,0.4,1737,0,0,67.22,0,438671,0,50829,0
6244,茂迪         ,20130704,0.4,1737,0,0,68.35,0,438671,0,50668,0
6244,茂迪         ,20130705,0.4,1737,0,0,67.22,0,438671,0,50642,0
6244,茂迪         ,20130708,0.4,1737,0,0,66.01,0,438671,0,50518,0
6244,茂迪         ,20130709,0.4,1737,0,0,65.48,0,438671,0,49636,0
6244,茂迪         ,20130710,0.4,1737,0,0,65.14,0,438671,0,49927,0
6244,茂迪         ,20130711,0.4,1737,0,0,67.05,0,438671,0,50125,0
6244,茂迪         ,20130712,0.4,1737,0,0,67.4,0,438671,0,50812,0
6244,茂迪         ,20130715,0.4,1737,0,0,72.09,0,438671,0,52135,0
6244,茂迪         ,20130716,0.4,1737,0,0,74.52,0,438671,0,54508,0
6244,茂迪         ,20130717,0.4,1737,0,0,74.34,0,438671,0,54219,0
6244,茂迪         ,20130718,0.4,1737,0,0,70.35,0,438671,0,56519,0
6244,茂迪         ,20130719,0.34,1485,0,-252,59.92,252,438671,-10.17,55206,0.03
6244,茂迪         ,20130722,0.23,1005,0,-480,40.15,480,438671,-19.18,54838,0.05
6244,茂迪         ,20130723,0.23,1005,0,0,41.56,0,438671,0,55002,0
