證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1303,南亞         ,20130102,0,0,83597,4731.59,2540,143.76,2149309,121650.89,5130,2460,1.06,0,0,0
1303,南亞         ,20130103,740,43.66,84337,4975.88,7016,413.94,2154625,127122.88,6560,278,1.07,750,10,0
1303,南亞         ,20130104,1516,90.96,85853,5151.18,5046,302.76,2159811,129588.66,8115,4210,1.09,1540,24,0.01
1303,南亞         ,20130107,233,13.72,86086,5070.47,1975,116.33,2161946,127338.62,7265,5535,1.1,360,127,0
1303,南亞         ,20130108,90,5.27,86176,5041.3,720,42.12,2162676,126516.55,3830,3157,1.1,95,5,0
1303,南亞         ,20130109,47,2.71,86223,4975.07,-146,-8.42,2161465,124716.53,3943,4139,1.1,96,49,0
1303,南亞         ,20130110,560,32.98,86783,5111.52,3508,206.62,2165126,127525.92,9306,6555,1.11,560,0,0
1303,南亞         ,20130111,309,18.32,87092,5164.56,1511,89.6,2166653,128482.52,2584,1388,1.11,321,12,0
1303,南亞         ,20130114,-150,-8.91,86942,5164.35,-432,-25.66,2164387,128564.59,2849,2738,1.11,0,150,0
1303,南亞         ,20130115,139,8.26,87081,5172.61,1059,62.9,2165630,128638.42,3294,2013,1.11,147,8,0
1303,南亞         ,20130116,-25,-1.46,87056,5092.78,582,34.05,2166305,126728.84,4094,3474,1.11,0,25,0
1303,南亞         ,20130117,-16,-0.91,87040,5117.95,1552,91.26,2167211,127432.01,7593,5876,1.11,96,112,0
1303,南亞         ,20130118,-408,-24.24,86632,5145.94,54,3.21,2167419,128744.69,2382,1836,1.1,0,408,0
1303,南亞         ,20130121,378,22.23,87010,5116.19,955,56.15,2168820,127526.62,1615,1000,1.11,427,49,0
1303,南亞         ,20130122,144,8.5,87154,5142.09,1990,117.41,2170720,128072.48,2224,445,1.11,160,16,0
1303,南亞         ,20130123,46,2.73,87200,5170.96,1553,92.09,2172270,128815.61,2175,654,1.11,52,6,0
1303,南亞         ,20130124,-21,-1.24,87179,5134.84,66,3.89,2172643,127968.67,3132,2627,1.11,4,25,0
1303,南亞         ,20130125,-1453,-84.42,85726,4980.68,-2115,-122.88,2170591,126111.34,3872,4437,1.09,0,1453,0.01
1303,南亞         ,20130128,-193,-11.19,85533,4960.91,475,27.55,2171110,125924.38,1521,809,1.09,0,193,0
1303,南亞         ,20130129,-424,-24.85,85109,4987.39,1396,81.81,2172447,127305.39,2372,516,1.08,0,424,0
1303,南亞         ,20130130,319,18.95,85428,5074.42,2711,161.03,2175205,129207.18,4114,1543,1.09,319,0,0
1303,南亞         ,20130131,69,4.14,85497,5129.82,2789,167.34,2177111,130626.66,6251,3411,1.09,78,9,0
1303,南亞         ,20130201,256,15.26,85753,5110.88,-304,-18.12,2176874,129741.69,2489,2992,1.09,256,0,0
1303,南亞         ,20130204,-410,-24.6,85343,5120.58,489,29.34,2177548,130652.88,2755,1919,1.09,148,558,0
1303,南亞         ,20130205,-142,-8.42,85201,5052.42,1233,73.12,2179022,129216,3164,1646,1.09,0,142,0
1303,南亞         ,20130206,75,4.41,85276,5014.23,536,31.52,2180346,128204.34,5974,4725,1.09,155,80,0
1303,南亞         ,20130218,59,3.42,85335,4949.43,173,10.03,2181297,126515.23,7567,6826,1.09,147,88,0
1303,南亞         ,20130219,-350,-20.44,84985,4963.12,-827,-48.3,2180984,127369.47,1783,1806,1.08,0,350,0
1303,南亞         ,20130220,0,0,84985,5099.1,4875,292.5,2186125,131167.5,7239,2127,1.08,0,0,0
1303,南亞         ,20130221,-12,-0.72,84973,5089.88,1260,75.47,2188044,131063.84,6345,4556,1.08,0,12,0
1303,南亞         ,20130222,1,0.06,84974,5047.46,116,6.89,2188223,129980.45,2260,2075,1.08,49,48,0
1303,南亞         ,20130223,75,4.44,85049,5034.9,-79,-4.68,2188304,129547.6,8,2,1.08,85,10,0
1303,南亞         ,20130225,13,0.76,85062,4976.13,-1690,-98.87,2186898,127933.53,3118,4473,1.08,15,2,0
1303,南亞         ,20130226,-585,-34.16,84477,4933.46,-956,-55.83,2186260,127677.58,6846,7000,1.08,20,605,0
1303,南亞         ,20130227,-629,-35.79,83848,4770.95,-1375,-78.24,2185600,124360.64,3645,4426,1.07,0,629,0
1303,南亞         ,20130301,-1660,-95.45,82188,4725.81,-920,-52.9,2184744,125622.78,7207,6403,1.05,0,1660,0.01
1303,南亞         ,20130304,-312,-17.25,81876,4527.74,-6421,-355.08,2178559,120474.31,3851,10221,1.04,0,312,0
1303,南亞         ,20130305,-486,-26.58,81390,4452.03,-3845,-210.32,2175017,118973.43,2721,5580,1.04,0,486,0
1303,南亞         ,20130306,-37,-2.07,81353,4555.77,1585,88.76,2175960,121853.76,4175,2675,1.04,0,37,0
1303,南亞         ,20130307,0,0,81353,4547.63,16,0.89,2176389,121660.15,1514,1315,1.04,0,0,0
1303,南亞         ,20130308,-84,-4.73,81269,4575.44,670,37.72,2177251,122579.23,4951,4205,1.03,109,193,0
1303,南亞         ,20130311,364,21,81633,4710.22,970,55.97,2179377,125750.05,4718,3982,1.04,373,9,0
1303,南亞         ,20130312,571,33.18,82204,4776.05,891,51.77,2180340,126677.75,3633,3381,1.05,574,3,0
1303,南亞         ,20130313,-7,-0.39,82197,4611.25,-2788,-156.41,2178292,122202.18,1543,3654,1.05,0,7,0
1303,南亞         ,20130314,-1123,-61.32,81074,4426.64,-3407,-186.02,2175305,118771.65,2328,4362,1.03,0,1123,0.01
1303,南亞         ,20130315,-10040,-527.1,71034,3729.29,-14736,-773.64,2160097,113405.09,14643,19619,0.9,0,10040,0.06
1303,南亞         ,20130318,73,3.87,71107,3768.67,-1399,-74.15,2158645,114408.19,2336,3860,0.91,86,13,0
1303,南亞         ,20130319,-73,-3.84,71034,3736.39,-2950,-155.17,2155833,113396.82,2251,5041,0.9,20,93,0
1303,南亞         ,20130320,5,0.26,71039,3708.24,-4453,-232.45,2149670,112212.77,1655,6216,0.9,10,5,0
1303,南亞         ,20130321,60,3.14,71099,3718.48,-1820,-95.19,2148030,112341.97,1344,3172,0.91,60,0,0
1303,南亞         ,20130322,-196,-10.13,70903,3665.69,-2192,-113.33,2145943,110945.25,1109,3000,0.9,0,196,0
1303,南亞         ,20130325,0,0,70903,3686.96,-382,-19.86,2145575,111569.9,1452,1820,0.9,0,0,0
1303,南亞         ,20130326,0,0,70903,3651.5,-1040,-53.56,2144273,110430.06,1576,2686,0.9,0,0,0
1303,南亞         ,20130327,-307,-16.18,70596,3720.41,1608,84.74,2145949,113091.51,2819,836,0.9,2,309,0
1303,南亞         ,20130328,-481,-25.3,70115,3688.05,917,48.23,2146965,112930.36,4678,3261,0.89,0,481,0
1303,南亞         ,20130329,-445,-23.85,59408,3184.27,2846,152.55,2139385,114671.04,4128,1021,0.76,1,446,0
1303,南亞         ,20130401,-5,-0.26,59403,3142.42,-352,-18.62,2139093,113158.02,616,1013,0.76,0,5,0
1303,南亞         ,20130402,-7,-0.38,59396,3189.57,1205,64.71,2140348,114936.69,3653,2628,0.76,0,7,0
1303,南亞         ,20130403,0,0,59396,3136.11,-352,-18.59,2139897,112986.56,1230,1765,0.76,0,0,0
1303,南亞         ,20130408,-8,-0.41,59388,3064.42,-1154,-59.55,2138743,110359.14,3055,4222,0.76,0,8,0
1303,南亞         ,20130409,-12,-0.62,59376,3057.86,-2344,-120.72,2136449,110027.12,1157,3380,0.76,0,12,0
1303,南亞         ,20130410,128,6.53,59504,3034.7,318,16.22,2136767,108975.12,4647,4486,0.76,128,0,0
1303,南亞         ,20130411,191,10.01,59695,3128.02,-986,-51.67,2135816,111916.76,1086,2071,0.76,191,0,0
1303,南亞         ,20130412,-2,-0.11,59693,3151.79,-184,-9.72,2135737,112766.91,959,1088,0.76,0,2,0
1303,南亞         ,20130415,490,26.31,60183,3231.83,608,32.65,2136561,114733.33,1807,1515,0.77,500,10,0
1303,南亞         ,20130416,-49,-2.65,60134,3253.25,-238,-12.88,2136797,115600.72,2981,2886,0.77,0,49,0
1303,南亞         ,20130417,886,47.93,61020,3301.18,-484,-26.18,2136537,115586.65,3778,5184,0.78,1000,114,0.01
1303,南亞         ,20130418,0,0,61020,3240.16,-1704,-90.48,2134838,113359.9,1380,3134,0.78,0,0,0
1303,南亞         ,20130419,-63,-3.36,60957,3267.3,151,8.09,2134885,114429.84,2005,1759,0.78,37,100,0
1303,南亞         ,20130422,485,26.58,61442,3367.02,1510,82.75,2136219,117064.8,1976,1306,0.78,500,15,0
1303,南亞         ,20130423,-30,-1.67,61412,3420.65,3339,185.98,2139628,119177.28,5514,2659,0.78,81,111,0
1303,南亞         ,20130424,881,51.45,62293,3637.91,6665,389.24,2146403,125349.94,8792,2530,0.79,884,3,0.01
1303,南亞         ,20130425,1443,85.71,63736,3785.92,5400,320.76,2152374,127851.02,7348,2666,0.81,1465,22,0.01
1303,南亞         ,20130426,859,51.2,64595,3849.86,4894,291.68,2157911,128611.5,6867,2259,0.82,869,10,0.01
1303,南亞         ,20130429,-162,-9.69,64433,3853.09,5545,331.59,2163959,129404.75,7188,1354,0.82,0,162,0
1303,南亞         ,20130430,53,3.12,64486,3791.78,1307,76.85,2164582,127277.42,5928,5398,0.82,53,0,0
1303,南亞         ,20130502,-126,-7.51,64360,3835.86,5458,325.3,2169960,129329.62,5549,886,0.82,0,126,0
1303,南亞         ,20130503,380,22.69,64740,3864.98,2537,151.46,2171860,129660.04,3370,985,0.82,405,25,0
1303,南亞         ,20130506,-12,-0.71,64728,3851.32,3177,189.03,2175036,129414.64,4595,1286,0.82,0,12,0
1303,南亞         ,20130507,1579,97.11,66307,4077.88,9905,609.16,2185102,134383.77,9378,1342,0.84,1581,2,0.01
1303,南亞         ,20130508,3014,192.9,69321,4436.54,6279,401.86,2193827,140404.93,6875,3723,0.88,3017,3,0.02
1303,南亞         ,20130509,96,6.07,69417,4387.15,3753,237.19,2197789,138900.26,4548,1459,0.88,105,9,0
1303,南亞         ,20130510,-402,-24.96,69015,4285.83,1058,65.7,2198887,136550.88,3817,3018,0.88,56,458,0
1303,南亞         ,20130513,166,10.11,69181,4213.12,-111,-6.76,2198806,133907.29,3090,3743,0.88,181,15,0
1303,南亞         ,20130514,490,30.72,69671,4368.37,5000,313.5,2203946,138187.41,5003,1364,0.89,493,3,0
1303,南亞         ,20130515,298,18.68,69969,4387.06,2048,128.41,2206103,138322.66,5044,2768,0.89,300,2,0
1303,南亞         ,20130516,987,64.06,70956,4605.04,4581,297.31,2210377,143453.47,5298,1377,0.9,987,0,0.01
1303,南亞         ,20130517,167,10.79,71123,4594.55,1355,87.53,2211982,142894.04,2345,1191,0.91,200,33,0
1303,南亞         ,20130520,145,9.28,71268,4561.15,452,28.93,2212716,141613.82,1555,1558,0.91,154,9,0
1303,南亞         ,20130521,-195,-12.48,71073,4548.67,87,5.57,2212597,141606.21,1329,1156,0.91,0,195,0
1303,南亞         ,20130522,90,5.76,71163,4554.43,898,57.47,2213965,141693.76,3147,2293,0.91,125,35,0
1303,南亞         ,20130523,-2,-0.13,71161,4447.56,-2455,-153.44,2211541,138221.31,2314,4341,0.91,0,2,0
1303,南亞         ,20130524,-491,-30.69,70670,4416.88,1062,66.38,2213103,138318.94,6936,5182,0.9,0,491,0
1303,南亞         ,20130527,-5,-0.32,70665,4487.23,1301,82.61,2214580,140625.83,3357,2087,0.9,0,5,0
1303,南亞         ,20130528,-812,-50.75,69853,4365.81,-939,-58.69,2213666,138354.13,2199,2427,0.89,0,812,0.01
1303,南亞         ,20130529,0,0,69853,4463.61,237,15.14,2214306,141494.15,3890,3661,0.89,0,0,0
1303,南亞         ,20130530,-321,-19.93,69532,4317.94,-6238,-387.38,2208598,137153.94,1039,6672,0.89,0,321,0
1303,南亞         ,20130531,-911,-55.75,68621,4199.61,152,9.3,2206442,135034.25,10467,9472,0.87,2,913,0.01
1303,南亞         ,20130603,19,1.15,68640,4152.72,-896,-54.21,2205842,133453.44,2838,3756,0.87,19,0,0
1303,南亞         ,20130604,-544,-32.8,68096,4106.19,-3023,-182.29,2206393,133045.5,3457,6036,0.87,0,544,0
1303,南亞         ,20130605,-470,-27.97,67626,4023.75,-4445,-264.48,2202032,131020.9,1839,5897,0.86,0,470,0
1303,南亞         ,20130606,150,8.78,67776,3964.9,-4386,-256.58,2198064,128586.74,3064,7424,0.86,350,200,0
1303,南亞         ,20130607,319,18.98,68095,4051.65,-1192,-70.92,2197620,130758.39,2254,4111,0.87,319,0,0
