證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1313,聯成         ,20130102,0,0,17431,285.87,44,0.72,150577,2469.46,86,2,1.55,0,0,0
1313,聯成         ,20130103,-2,-0.03,17429,291.06,391,6.53,150968,2521.17,127,3,1.55,0,2,0
1313,聯成         ,20130104,337,5.66,17766,298.47,553,9.29,151521,2545.55,137,175,1.58,340,3,0.02
1313,聯成         ,20130107,-24,-0.41,17742,305.16,862,14.83,152393,2621.16,194,679,1.58,0,24,0
1313,聯成         ,20130108,179,3.02,17921,301.97,524,8.83,152917,2576.65,110,305,1.59,300,121,0.02
1313,聯成         ,20130109,150,2.51,18071,302.69,425,7.12,153342,2568.48,303,23,1.61,150,0,0.01
1313,聯成         ,20130110,0,0,18071,305.4,243,4.11,153585,2595.59,217,93,1.61,0,0,0
1313,聯成         ,20130111,-2,-0.03,18069,307.17,239,4.06,153824,2615.01,599,392,1.61,0,2,0
1313,聯成         ,20130114,-111,-1.89,17958,305.29,-35,-0.59,153809,2614.75,139,71,1.6,0,111,0
1313,聯成         ,20130115,-223,-3.75,17735,297.95,-163,-2.74,153646,2581.25,107,28,1.58,0,223,0.01
1313,聯成         ,20130116,-146,-2.45,17589,294.62,-35,-0.59,153611,2572.98,377,255,1.56,0,146,0.01
1313,聯成         ,20130117,-137,-2.21,17452,282.72,-420,-6.8,153191,2481.69,101,115,1.55,15,152,0.01
1313,聯成         ,20130118,-635,-10.45,16817,276.64,-348,-5.72,152843,2514.27,259,1,1.49,0,635,0.03
1313,聯成         ,20130121,-8,-0.13,16809,279.03,147,2.44,153001,2539.82,173,90,1.49,0,8,0
1313,聯成         ,20130122,-1,-0.02,16808,279.01,117,1.94,153118,2541.76,1068,1001,1.49,0,1,0
1313,聯成         ,20130123,-23,-0.38,16785,278.63,220,3.65,153338,2545.41,307,63,1.49,0,23,0
1313,聯成         ,20130124,-254,-4.18,16531,271.93,-303,-4.98,153035,2517.43,135,182,1.47,0,254,0.01
