證券名稱,簡稱,年月日,投信持股率%,投信持股數(千股),投信買進張數,投信買賣超(千股),投信持股數市值(百萬),投信賣出張數,流通在外股數(千股),投信買賣超市值(百萬),合計持股數(千股),投信週轉率%
9908,大台北       ,20130102,0.12,644,0,0,13.46,0,516358,0,20060,0
9908,大台北       ,20130103,0.12,643,0,-1,13.41,1,516358,-0.02,20067,0
9908,大台北       ,20130104,0.12,641,0,-2,13.3,2,516358,-0.04,20044,0
9908,大台北       ,20130107,0.12,623,0,-18,13.02,18,516358,-0.38,19983,0
9908,大台北       ,20130108,0.12,623,0,0,13.02,0,516358,0,19956,0
9908,大台北       ,20130109,0.12,623,0,0,13.05,0,516358,0,19952,0
9908,大台北       ,20130110,0.12,623,0,0,13.08,0,516358,0,19984,0
9908,大台北       ,20130111,0.12,621,0,-2,13.01,2,516358,-0.04,20008,0
9908,大台北       ,20130114,0.12,621,0,0,13.04,0,516358,0,19993,0
9908,大台北       ,20130115,0.12,620,0,-1,13.08,1,516358,-0.02,19987,0
9908,大台北       ,20130116,0.12,617,0,-3,12.86,3,516358,-0.06,19916,0
9908,大台北       ,20130117,0.12,603,0,-14,12.51,14,516358,-0.3,19901,0
9908,大台北       ,20130118,0.11,545,0,-58,11.39,58,516358,-1.21,19841,0.01
9908,大台北       ,20130121,0.1,539,0,-6,11.29,6,516358,-0.13,19835,0
9908,大台北       ,20130122,0.09,480,0,-59,10.08,59,516358,-1.24,19771,0.01
9908,大台北       ,20130123,0.08,419,0,-61,8.82,61,516358,-1.28,19712,0.01
9908,大台北       ,20130124,0.07,351,0,-68,7.34,68,516358,-1.42,19598,0.01
9908,大台北       ,20130125,0.06,285,0,-66,5.93,66,516358,-1.37,19476,0.01
9908,大台北       ,20130128,0.06,285,0,0,5.96,0,516358,0,19486,0
9908,大台北       ,20130129,0.06,285,0,0,5.97,0,516358,0,19497,0
9908,大台北       ,20130130,0.06,285,0,0,5.99,0,516358,0,19562,0
9908,大台北       ,20130131,0.06,284,1,-1,5.94,2,516358,-0.02,19534,0
9908,大台北       ,20130201,0.06,284,0,0,5.96,0,516358,0,19526,0
9908,大台北       ,20130204,0.09,443,215,159,9.39,56,516358,3.37,19682,0.03
9908,大台北       ,20130205,0.12,619,206,176,13.43,30,516358,3.82,19841,0.02
9908,大台北       ,20130206,0.12,607,0,-12,13.11,12,516358,-0.26,19834,0
9908,大台北       ,20130218,0.12,607,0,0,12.99,0,516358,0,19809,0
9908,大台北       ,20130219,0.12,602,0,-5,12.82,5,516358,-0.11,19787,0
9908,大台北       ,20130220,0.12,602,0,0,12.91,0,516358,0,19796,0
9908,大台北       ,20130221,0.12,597,0,-5,12.75,5,516358,-0.11,19830,0
9908,大台北       ,20130222,0.11,588,0,-9,12.55,9,516358,-0.19,19855,0
9908,大台北       ,20130223,0.11,583,0,-5,12.59,5,516358,-0.11,19850,0
9908,大台北       ,20130225,0.11,583,0,0,12.48,0,516358,0,19838,0
9908,大台北       ,20130226,0.11,583,0,0,12.48,0,516358,0,19895,0
9908,大台北       ,20130227,0.11,583,0,0,12.59,0,516358,0,20055,0
9908,大台北       ,20130301,0.11,583,0,0,12.53,0,516358,0,20088,0
9908,大台北       ,20130304,0.11,583,0,0,12.39,0,516358,0,19981,0
9908,大台北       ,20130305,0.11,583,0,0,12.51,0,516358,0,19960,0
9908,大台北       ,20130306,0.11,583,0,0,12.48,0,516358,0,19980,0
9908,大台北       ,20130307,0.11,551,0,-32,11.87,32,516358,-0.69,19951,0
9908,大台北       ,20130308,0.11,551,0,0,11.85,0,516358,0,19964,0
9908,大台北       ,20130311,0.11,551,0,0,11.96,0,516358,0,19938,0
9908,大台北       ,20130312,0.11,551,0,0,11.9,0,516358,0,19937,0
9908,大台北       ,20130313,0.11,545,0,-6,11.74,6,516358,-0.13,19947,0
9908,大台北       ,20130314,0.1,542,0,-3,11.68,3,516358,-0.06,19952,0
9908,大台北       ,20130315,0.1,536,0,-6,11.55,6,516358,-0.13,19960,0
9908,大台北       ,20130318,0.1,529,0,-7,11.43,7,516358,-0.15,19934,0
9908,大台北       ,20130319,0.1,529,0,0,11.4,0,516358,0,19882,0
9908,大台北       ,20130320,0.1,529,0,0,11.32,0,516358,0,19771,0
9908,大台北       ,20130321,0.1,529,0,0,11.43,0,516358,0,19762,0
9908,大台北       ,20130322,0.1,529,0,0,11.37,0,516358,0,19757,0
9908,大台北       ,20130325,0.1,529,0,0,11.37,0,516358,0,19746,0
9908,大台北       ,20130326,0.1,529,0,0,11.45,0,516358,0,19742,0
9908,大台北       ,20130327,0.1,519,0,-10,11.16,10,516358,-0.22,19720,0
9908,大台北       ,20130328,0.1,519,0,0,11.13,0,516358,0,19804,0
9908,大台北       ,20130329,0.1,517,0,0,11.17,0,516358,0,19714,0
9908,大台北       ,20130401,0.1,514,0,-3,11.1,3,516358,-0.06,19712,0
9908,大台北       ,20130402,0.1,514,0,0,11.1,0,516358,0,19738,0
9908,大台北       ,20130403,0.1,514,0,0,11.18,0,516358,0,19735,0
9908,大台北       ,20130408,0.1,514,0,0,11.18,0,516358,0,19727,0
9908,大台北       ,20130409,0.1,514,0,0,11.18,0,516358,0,19732,0
9908,大台北       ,20130410,0.1,514,0,0,11.13,0,516358,0,19705,0
9908,大台北       ,20130411,0.1,514,0,0,11.18,0,516358,0,19721,0
9908,大台北       ,20130412,0.1,514,0,0,11.26,0,516358,0,19717,0
9908,大台北       ,20130415,0.1,511,0,-3,11.19,3,516358,-0.07,19697,0
9908,大台北       ,20130416,0.1,511,0,0,11.19,0,516358,0,19710,0
9908,大台北       ,20130417,0.09,476,0,-35,10.47,35,516358,-0.77,19702,0
9908,大台北       ,20130418,0.09,476,0,0,10.47,0,516358,0,19691,0
9908,大台北       ,20130419,0.09,465,0,-11,10.16,11,516358,-0.24,19696,0
9908,大台北       ,20130422,0.09,464,0,-1,10.18,1,516358,-0.02,19707,0
9908,大台北       ,20130423,0.09,459,0,-5,10.1,5,516358,-0.11,19704,0
9908,大台北       ,20130424,0.09,458,0,-1,10.08,1,516358,-0.02,19708,0
9908,大台北       ,20130425,0.09,453,0,-5,9.94,5,516358,-0.11,19702,0
9908,大台北       ,20130426,0.09,447,0,-6,9.74,6,516358,-0.13,19694,0
9908,大台北       ,20130429,0.09,444,0,-3,9.68,3,516358,-0.07,19676,0
9908,大台北       ,20130430,0.09,444,0,0,9.7,0,516358,0,19677,0
9908,大台北       ,20130502,0.09,444,0,0,9.72,0,516358,0,19667,0
9908,大台北       ,20130503,0.08,432,0,-12,9.48,12,516358,-0.26,19650,0
9908,大台北       ,20130506,0.08,426,0,-6,9.31,6,516358,-0.13,19630,0
9908,大台北       ,20130507,0.08,426,0,0,9.33,0,516358,0,19633,0
9908,大台北       ,20130508,0.08,426,0,0,9.41,0,516358,0,19729,0
9908,大台北       ,20130509,0.08,426,0,0,9.46,0,516358,0,19767,0
9908,大台北       ,20130510,0.08,426,0,0,9.41,0,516358,0,19828,0
9908,大台北       ,20130513,0.08,421,0,-5,9.33,5,516358,-0.11,19829,0
9908,大台北       ,20130514,0.08,421,0,0,9.39,0,516358,0,19842,0
9908,大台北       ,20130515,0.08,421,0,0,9.47,0,516358,0,19908,0
9908,大台北       ,20130516,0.08,421,0,0,9.39,0,516358,0,19968,0
9908,大台北       ,20130517,0.08,421,0,0,9.26,0,516358,0,20008,0
9908,大台北       ,20130520,0.08,417,0,-4,9.15,4,516358,-0.09,20028,0
9908,大台北       ,20130521,0.08,417,0,0,9.13,0,516358,0,20031,0
9908,大台北       ,20130522,0.08,399,0,-18,8.72,18,516358,-0.39,20013,0
9908,大台北       ,20130523,0.08,399,0,0,8.72,0,516358,0,20038,0
9908,大台北       ,20130524,0.08,394,0,-5,8.59,5,516358,-0.11,19969,0
9908,大台北       ,20130527,0.08,394,0,0,8.63,0,516358,0,19968,0
9908,大台北       ,20130528,0.08,394,0,0,8.69,0,516358,0,19986,0
9908,大台北       ,20130529,0.08,394,0,0,8.67,0,516358,0,19969,0
9908,大台北       ,20130530,0.08,394,0,0,8.67,0,516358,0,19924,0
9908,大台北       ,20130531,0.08,394,0,0,8.71,0,516358,0,19905,0
9908,大台北       ,20130603,0.08,394,0,0,8.69,0,516358,0,19909,0
9908,大台北       ,20130604,0.08,394,0,0,8.67,0,516358,0,19908,0
9908,大台北       ,20130605,0.08,394,0,0,8.69,0,516358,0,19891,0
