證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1314,中石化       ,20130102,-291,-5.25,14887,268.71,201,3.63,532413,9610.05,1560,1074,0.64,0,291,0.01
1314,中石化       ,20130103,-3,-0.05,14884,271.63,3459,63.13,534442,9753.57,3131,213,0.64,0,3,0
1314,中石化       ,20130104,-80,-1.47,14804,273.13,3797,70.05,538579,9936.78,1688,2584,0.64,200,280,0.01
1314,中石化       ,20130107,1312,25.84,16116,317.49,-2811,-55.38,536768,10574.33,1682,10259,0.69,1322,10,0.03
1314,中石化       ,20130108,210,4.03,16326,313.46,-20862,-400.55,517817,9942.09,1954,18043,0.7,214,4,0
1314,中石化       ,20130109,478,9.13,16804,320.96,-13418,-256.28,504918,9643.93,1725,13795,0.72,478,0,0.01
1314,中石化       ,20130110,0,0,16804,321.8,202,3.87,505770,9685.5,8809,8837,0.72,0,0,0
1314,中石化       ,20130111,866,16.63,17670,339.26,924,17.74,506874,9731.98,1831,1416,0.76,870,4,0.02
1314,中石化       ,20130114,230,4.51,17900,350.84,10235,200.61,517199,10137.1,8921,893,0.77,230,0,0
1314,中石化       ,20130115,-3,-0.06,17897,345.41,-1621,-31.29,515617,9951.41,2322,3796,0.77,0,3,0
1314,中石化       ,20130116,-9,-0.17,17888,339.87,-1084,-20.6,514544,9776.34,2212,1519,0.77,0,9,0
1314,中石化       ,20130117,-1864,-33.74,16024,290.03,-315,-5.7,512504,9276.32,8627,4066,0.69,0,1864,0.04
1314,中石化       ,20130118,0,0,16024,299.65,5129,95.91,517439,9676.11,14813,9599,0.69,0,0,0
1314,中石化       ,20130121,-15,-0.28,16009,297.77,-107,-1.99,517961,9634.07,648,1136,0.69,0,15,0
1314,中石化       ,20130122,-1,-0.02,16008,298.55,-25,-0.47,517939,9659.56,793,1448,0.69,0,1,0
1314,中石化       ,20130123,-1105,-20.44,14903,275.71,-771,-14.26,517167,9567.59,1021,651,0.64,0,1105,0.02
1314,中石化       ,20130124,-6,-0.11,14897,272.62,145,2.65,517312,9466.81,754,704,0.64,2,8,0
1314,中石化       ,20130125,-308,-5.61,14589,265.52,-1843,-33.54,515470,9381.55,454,1992,0.63,0,308,0.01
1314,中石化       ,20130128,0,0,14589,264.06,-1423,-25.76,515547,9331.4,879,1977,0.63,0,0,0
1314,中石化       ,20130129,-1,-0.01,14588,268.42,-245,-4.51,518572,9541.72,1009,1159,0.63,0,1,0
1314,中石化       ,20130130,0,0,14588,267.69,-802,-14.72,518369,9512.07,1321,2013,0.63,0,0,0
1314,中石化       ,20130131,-2,-0.03,14586,264.74,-1393,-25.28,513167,9313.98,1614,2982,0.63,1,3,0
1314,中石化       ,20130201,0,0,14586,267.65,1869,34.3,515036,9450.91,1965,593,0.63,0,0,0
1314,中石化       ,20130204,-111,-2.06,14475,269.24,-1843,-34.28,513343,9548.18,1033,3972,0.62,0,111,0
1314,中石化       ,20130205,-108,-1.98,14367,263.63,-1155,-21.19,511878,9392.96,3073,2951,0.62,0,108,0
1314,中石化       ,20130206,-2,-0.04,14365,261.44,-2852,-51.91,507633,9238.92,1607,2615,0.62,1,3,0
1314,中石化       ,20130218,-1,-0.02,14364,262.14,637,11.63,508622,9282.35,4812,3822,0.62,0,1,0
1314,中石化       ,20130219,-1,-0.02,14363,264.28,-2224,-40.92,506070,9311.69,297,2848,0.62,0,1,0
1314,中石化       ,20130220,-400,-7.44,13963,259.71,6436,119.71,511752,9518.59,7721,1639,0.6,0,400,0.01
1314,中石化       ,20130221,-2,-0.04,13961,260.37,6839,127.55,517144,9644.74,4655,2306,0.6,0,2,0
1314,中石化       ,20130222,-2,-0.04,13959,261.03,929,17.37,518072,9687.95,3919,2140,0.6,0,2,0
1314,中石化       ,20130223,-261,-4.86,13698,254.78,195,3.63,518267,9639.77,784,0,0.59,0,261,0.01
1314,中石化       ,20130225,0,0,13698,255.47,3586,66.88,521854,9732.58,3993,1077,0.59,0,0,0
1314,中石化       ,20130226,-509,-9.45,13189,244.66,848,15.73,523002,9701.69,3049,2083,0.57,0,509,0.01
1314,中石化       ,20130227,0,0,13189,242.02,-523,-9.6,518066,9506.51,509,1644,0.57,0,0,0
1314,中石化       ,20130301,0,0,13189,244.66,-1973,-36.6,515793,9567.96,766,2799,0.57,0,0,0
