證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1305,華夏         ,20130102,667,10.27,37578,578.7,757,11.66,95274,1467.22,147,107,8.85,667,0,0.08
1305,華夏         ,20130103,1309,20.03,38887,594.97,560,8.57,95834,1466.26,359,107,9.15,1309,0,0.15
1305,華夏         ,20130104,712,11.46,39599,637.54,4823,77.65,100582,1619.37,2749,512,9.32,980,268,0.15
1305,華夏         ,20130107,181,3.05,39780,670.29,2547,42.92,103129,1737.72,3377,995,9.36,323,142,0.05
1305,華夏         ,20130108,-450,-7.58,39330,662.71,770,12.97,103929,1751.2,2281,1267,9.26,0,450,0.05
1305,華夏         ,20130109,-550,-9.16,38780,645.69,-994,-16.55,102935,1713.87,151,623,9.13,0,550,0.06
1305,華夏         ,20130110,366,6.19,39146,661.57,1521,25.7,104456,1765.31,1097,119,9.22,366,0,0.04
1305,華夏         ,20130111,-1020,-16.68,38126,623.36,-2622,-42.87,101834,1664.99,151,1350,8.97,72,1092,0.14
1305,華夏         ,20130114,-4450,-71.64,33676,542.18,-8208,-132.15,93616,1507.22,425,3487,7.93,259,4709,0.58
1305,華夏         ,20130115,-1563,-23.76,32113,488.12,-4556,-69.25,89060,1353.71,474,3514,7.56,1272,2835,0.48
1305,華夏         ,20130116,713,10.94,32826,503.88,1722,26.43,90782,1393.5,767,220,7.73,713,0,0.08
1305,華夏         ,20130117,342,5.28,33168,512.45,493,7.62,91275,1410.2,337,526,7.81,342,0,0.04
1305,華夏         ,20130118,406,6.56,33574,542.22,2296,37.08,93571,1511.17,2113,252,7.9,406,0,0.05
1305,華夏         ,20130121,251,4.04,33825,544.58,-733,-11.8,92838,1494.69,5,989,7.96,551,300,0.1
1305,華夏         ,20130122,0,0,33825,537.82,-428,-6.81,92410,1469.32,28,496,7.96,0,0,0
1305,華夏         ,20130123,0,0,33825,536.13,-132,-2.09,92278,1462.61,153,340,7.96,0,0,0
1305,華夏         ,20130124,97,1.51,33922,529.18,-1694,-26.43,90584,1413.11,4,600,7.99,98,1,0.01
1305,華夏         ,20130125,99,1.56,34021,537.53,-302,-4.77,90282,1426.46,35,486,8.01,100,1,0.01
1305,華夏         ,20130128,-300,-4.65,33721,522.68,-895,-13.87,89387,1385.5,20,615,7.94,0,300,0.04
1305,華夏         ,20130129,-104,-1.62,33617,524.43,-104,-1.62,89283,1392.81,124,208,7.91,422,526,0.11
1305,華夏         ,20130130,-310,-4.79,33307,514.59,-696,-10.75,88587,1368.67,46,377,7.84,0,310,0.04
1305,華夏         ,20130131,-197,-3.08,33110,518.17,-243,-3.8,87295,1366.17,361,307,7.79,3,200,0.02
1305,華夏         ,20130201,245,3.81,33355,518.67,-50,-0.78,87269,1357.03,47,316,7.85,443,198,0.08
1305,華夏         ,20130204,-376,-5.92,32979,519.42,-300,-4.73,86943,1369.35,115,158,7.76,200,576,0.09
1305,華夏         ,20130205,-2,-0.03,32977,527.63,-311,-4.98,86632,1386.11,28,355,7.76,0,2,0
1305,華夏         ,20130206,24,0.38,33001,526.37,287,4.58,86919,1386.36,0,330,7.77,162,138,0.04
1305,華夏         ,20130218,477,7.51,33478,527.28,-337,-5.31,86582,1363.67,50,560,7.88,800,323,0.13
