證券名稱,簡稱,年月日,投信持股率%,投信持股數(千股),投信買進張數,投信買賣超(千股),投信持股數市值(百萬),投信賣出張數,流通在外股數(千股),投信買賣超市值(百萬),合計持股數(千股),投信週轉率%
3576,聯合再生     ,20130102,2.4,11066,2630,2630,206.93,0,460746,49.18,46420,0.29
3576,聯合再生     ,20130103,2.98,13720,2655,2654,268.91,1,460746,52.02,47658,0.29
3576,聯合再生     ,20130104,4.24,19558,5840,5838,399.96,2,460746,119.39,54017,0.63
3576,聯合再生     ,20130107,5.07,23376,3829,3818,510.77,11,460746,83.42,58001,0.42
3576,聯合再生     ,20130108,5.95,27422,4046,4046,617,0,460746,91.04,64935,0.44
3576,聯合再生     ,20130109,6.11,28172,750,750,635.28,0,460746,16.91,67069,0.08
3576,聯合再生     ,20130110,8,36867,8695,8695,836.88,0,460746,197.38,74890,0.94
3576,聯合再生     ,20130111,7.97,36734,170,-133,863.25,303,460746,-3.13,74301,0.05
3576,聯合再生     ,20130114,9.08,41851,5117,5117,1035.81,0,460746,126.65,81187,0.56
3576,聯合再生     ,20130115,8.83,40686,100,-1165,996.81,1265,460746,-28.54,79709,0.15
3576,聯合再生     ,20130116,9.03,41628,1654,942,961.61,712,460746,21.76,81410,0.26
3576,聯合再生     ,20130117,9.01,41503,37,-125,917.22,162,460746,-2.76,81984,0.02
3576,聯合再生     ,20130118,9.01,41503,0,0,967.02,0,460746,0,82568,0
3576,聯合再生     ,20130121,8.9,40998,0,-505,942.95,505,460746,-11.62,80557,0.05
3576,聯合再生     ,20130122,8.9,40998,0,0,918.36,0,460746,0,78960,0
3576,聯合再生     ,20130123,8.73,40229,0,-769,909.18,769,460746,-17.38,78751,0.08
3576,聯合再生     ,20130124,8.62,39727,0,-502,897.83,502,460746,-11.35,77642,0.05
3576,聯合再生     ,20130125,8.41,38727,400,-1000,832.63,1400,460746,-21.5,76945,0.2
3576,聯合再生     ,20130128,8.26,38056,0,-671,818.2,671,460746,-14.43,76417,0.07
3576,聯合再生     ,20130129,8.26,38056,0,0,848.65,0,460746,0,76885,0
3576,聯合再生     ,20130130,8.32,38356,300,300,849.59,0,460746,6.64,76467,0.03
3576,聯合再生     ,20130131,7.98,36754,18,-1602,826.97,1620,460746,-36.05,74161,0.18
3576,聯合再生     ,20130201,7.98,36754,0,0,812.26,0,460746,0,74000,0
3576,聯合再生     ,20130204,8.13,37477,750,723,831.99,27,460746,16.05,74728,0.08
3576,聯合再生     ,20130205,8.13,37452,0,-25,850.16,25,460746,-0.57,75418,0
3576,聯合再生     ,20130206,8,36857,0,-595,814.54,595,460746,-13.15,74011,0.06
3576,聯合再生     ,20130218,8,36857,0,0,832.97,0,460746,0,72963,0
3576,聯合再生     ,20130219,8,36857,0,0,858.77,0,460746,0,73824,0
3576,聯合再生     ,20130220,8.05,37107,250,250,857.17,0,460746,5.78,75792,0.03
3576,聯合再生     ,20130221,8.05,37107,0,0,857.17,0,460746,0,75674,0
3576,聯合再生     ,20130222,7.36,33932,0,-3175,761.77,3175,460746,-71.28,71405,0.34
3576,聯合再生     ,20130223,7.1,32732,0,-1200,708.65,1200,460746,-25.98,70033,0.13
3576,聯合再生     ,20130225,6.89,31732,0,-1000,687,1000,460746,-21.65,69491,0.11
3576,聯合再生     ,20130226,6.63,30528,0,-1204,671.62,1204,460746,-26.49,68856,0.13
3576,聯合再生     ,20130227,6.55,30195,0,-333,653.72,333,460746,-7.21,68616,0.04
3576,聯合再生     ,20130301,6.55,30195,0,0,664.29,0,460746,0,68649,0
3576,聯合再生     ,20130304,6.51,29995,0,-200,656.89,200,460746,-4.38,68612,0.02
3576,聯合再生     ,20130305,6.51,29995,0,0,655.39,0,460746,0,68075,0
3576,聯合再生     ,20130306,6.51,29995,0,0,700.38,0,460746,0,66497,0
3576,聯合再生     ,20130307,6.79,31295,1300,1300,740.13,0,460746,30.75,70194,0.14
3576,聯合再生     ,20130308,6.79,31295,0,0,754.21,0,460746,0,69444,0
3576,聯合再生     ,20130311,7.02,32325,1030,1030,795.2,0,460746,25.34,71215,0.11
3576,聯合再生     ,20130312,7.19,33121,796,796,791.59,0,460677,19.02,71969,0.09
3576,聯合再生     ,20130313,7.08,32633,0,-488,773.4,488,460677,-11.57,70051,0.05
3576,聯合再生     ,20130314,7.08,32633,0,0,752.19,0,460677,0,69534,0
3576,聯合再生     ,20130315,6.93,31933,0,-700,737.65,700,460677,-16.17,68747,0.08
3576,聯合再生     ,20130318,6.62,30512,0,-1421,684.99,1421,460677,-31.9,70054,0.15
3576,聯合再生     ,20130319,6.12,28172,0,-2340,650.77,2340,460677,-54.05,69066,0.25
3576,聯合再生     ,20130320,5.96,27463,0,-709,645.38,709,460677,-16.66,69191,0.08
