證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1312,國喬         ,20130102,0,0,24455,379.05,71,1.1,255088,3953.86,150,144,2.64,0,0,0
1312,國喬         ,20130103,-1,-0.02,24454,382.71,884,13.83,255972,4005.96,40,1065,2.64,0,1,0
1312,國喬         ,20130104,-2,-0.03,24452,388.79,-1,-0.02,255971,4069.94,717,1875,2.64,0,2,0
1312,國喬         ,20130107,-3,-0.05,24449,399.74,-52,-0.85,256159,4188.2,1082,2339,2.64,3,6,0
1312,國喬         ,20130108,-41,-0.65,24408,385.65,-3426,-54.13,252716,3992.91,666,2287,2.63,700,741,0.08
1312,國喬         ,20130109,680,10.74,25088,396.39,-1338,-21.14,251398,3972.09,162,1396,2.71,700,20,0.04
1312,國喬         ,20130110,-1006,-15.84,24082,379.29,-2636,-41.52,248762,3918,443,2200,2.6,0,1006,0.05
1312,國喬         ,20130111,217,3.36,24299,376.63,-3451,-53.49,245311,3802.32,156,3501,2.62,602,385,0.05
1312,國喬         ,20130114,-267,-4.18,24032,376.1,-221,-3.46,245090,3835.66,297,283,2.59,0,267,0.01
1312,國喬         ,20130115,0,0,24032,374.9,-519,-8.1,244571,3815.31,19,540,2.59,0,0,0
1312,國喬         ,20130116,-3,-0.05,24029,374.85,-604,-9.42,243967,3805.89,364,904,2.59,1,4,0
1312,國喬         ,20130117,-391,-5.99,23638,361.66,-1964,-30.05,242003,3702.65,0,1426,2.55,1,392,0.02
1312,國喬         ,20130118,0,0,23638,366.39,-2017,-31.26,239986,3719.78,14,1968,2.55,0,0,0
1312,國喬         ,20130121,-2,-0.03,23636,363.99,-491,-7.56,239518,3688.58,46,663,2.55,0,2,0
1312,國喬         ,20130122,-30,-0.46,23606,364.71,829,12.81,240347,3713.36,313,578,2.55,0,30,0
1312,國喬         ,20130123,-962,-14.86,22644,349.85,-3439,-53.13,237058,3662.55,35,2603,2.44,0,962,0.05
1312,國喬         ,20130124,-49,-0.76,22595,349.09,-825,-12.75,236233,3649.8,0,924,2.44,3,52,0
1312,國喬         ,20130125,-1,-0.02,22594,347.95,-1828,-28.15,234405,3609.84,21,1855,2.44,0,1,0
1312,國喬         ,20130128,-30,-0.46,22564,348.61,-298,-4.6,234107,3616.95,34,292,2.44,0,30,0
1312,國喬         ,20130129,-1697,-26.22,20867,322.4,-2966,-45.82,231141,3571.13,122,1459,2.25,0,1697,0.09
1312,國喬         ,20130130,-2184,-33.52,18683,286.78,-3695,-56.72,227446,3491.3,96,910,2.02,0,2184,0.12
1312,國喬         ,20130131,-520,-7.93,18163,276.99,-1778,-27.11,177631,2708.87,293,1529,1.96,1,521,0.03
1312,國喬         ,20130201,-1030,-15.81,17133,262.99,-1148,-17.62,176478,2708.94,132,286,1.85,0,1030,0.06
1312,國喬         ,20130204,-14,-0.21,17119,262.78,-356,-5.46,176123,2703.49,192,497,1.85,0,14,0
1312,國喬         ,20130205,-12,-0.18,17107,262.59,-406,-6.23,175581,2695.17,51,437,1.85,0,12,0
1312,國喬         ,20130206,-23,-0.35,17084,261.39,-460,-7.04,175082,2678.75,32,401,1.84,1,24,0
1312,國喬         ,20130218,0,0,17084,262.24,-26,-0.4,175084,2687.54,61,58,1.84,0,0,0
