證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
3691 碩禾,2013/1/2,267,267,256.5,260,571,-1.3283,1.2941,"11,472",19.67,3.9,7.69,7.69,5,"27,553",62.44,18.62,16.58,13.83,242,229.2833,1.7405,1.555,784,1.77
3691 碩禾,2013/1/3,260,267.5,260,265.5,953,2.1154,2.1598,"11,715",20.08,3.99,7.53,7.53,5,27553,62.44,18.62,16.58,13.83,243.425,229.7083,1.7538,1.5408,791,1.79
3691 碩禾,2013/1/4,268,284,268,284,"1,493",6.968,3.3836,"12,531",21.48,4.26,7.04,7.04,5,27553,62.44,18.62,16.58,13.83,245.65,230.4917,1.7448,1.5411,742,1.68
3691 碩禾,2013/1/7,282,297,277,285,"1,766",0.3521,4.0023,"12,575",21.56,4.28,7.02,7.02,5,27553,62.44,18.62,16.58,13.83,248.25,231.275,1.7434,1.5427,846,1.91
3691 碩禾,2013/1/8,285.5,293.5,282.5,286,"1,105",0.3509,2.5042,"12,619",21.63,4.29,6.99,6.99,5,27553,62.44,18.62,16.58,13.83,251.1,232.1333,1.7044,1.5423,875,1.98
3691 碩禾,2013/1/9,287,292,283,289.5,755,1.2238,1.711,"12,774",21.9,4.35,6.91,6.91,5,27553,62.44,18.62,16.58,13.83,254.1,233.075,1.6113,1.5318,911,2.06
3691 碩禾,2013/1/10,297.5,305,291,295,"1,158",1.8998,2.6244,"13,016",22.31,4.43,6.78,6.78,5,27553,62.44,18.62,16.58,13.83,257.125,234.1083,1.6119,1.5329,938,2.12
3691 碩禾,2013/1/11,295.5,298,291.5,295,550,0,1.2465,"13,016",22.31,4.43,6.78,6.78,5,27553,62.44,18.62,16.58,13.83,259.825,235.2417,1.6061,1.5328,985,2.23
3691 碩禾,2013/1/14,297,303,295.5,299,530,1.3559,1.2011,"13,193",22.62,4.49,6.69,6.69,5,27553,62.44,18.62,16.58,13.83,263.025,236.5333,1.6124,1.5488,977,2.21
3691 碩禾,2013/1/15,297,304.5,285.5,288,716,-3.6789,1.6227,"12,708",21.79,4.32,6.94,6.94,5,27553,62.44,18.62,16.58,13.83,265.925,237.6917,1.6317,1.5528,997,2.26
3691 碩禾,2013/1/16,288,290,280,287,508,-0.3472,1.1513,"12,663",21.71,4.31,6.97,6.97,5,27553,62.44,18.62,16.58,13.83,268.875,238.85,1.6513,1.557,"1,058",2.39
3691 碩禾,2013/1/17,292,292,268,271,637,-5.5749,1.4436,"11,957",20.5,4.07,7.38,7.38,5,27553,62.44,18.62,16.58,13.83,271.025,239.7417,1.7198,1.5871,"1,142",2.58
3691 碩禾,2013/1/18,278.5,282.5,272,282,518,4.059,1.1739,"12,443",21.33,4.23,7.09,7.09,5,27553,62.44,18.62,16.58,13.83,273.55,240.95,1.739,1.5942,"1,206",2.73
3691 碩禾,2013/1/21,276,282,276,280.5,359,-0.5319,0.8136,"12,377",21.22,4.21,7.13,7.13,5,27553,62.44,18.62,16.58,13.83,275.875,242.3083,1.7149,1.5931,"1,215",2.75
3691 碩禾,2013/1/22,282,290,282,283,534,0.8913,1.2102,"12,487",21.41,4.25,7.07,7.07,5,27553,62.44,18.62,16.58,13.83,277.525,243.8417,1.7012,1.5927,"1,272",2.88
3691 碩禾,2013/1/23,287,289,283.5,286,407,1.0601,0.9224,"12,619",21.63,4.29,6.99,6.99,5,27553,62.44,18.62,16.58,13.83,279.225,245.3667,1.7003,1.593,"1,334",3.02
3691 碩禾,2013/1/24,286,296,284,294,733,2.7972,1.6612,"12,972",22.24,4.41,6.8,6.8,5,27553,62.44,18.62,16.58,13.83,280.875,246.9833,1.6881,1.5901,"1,472",3.33
3691 碩禾,2013/1/25,294,297,290.5,294.5,687,0.1701,1.5569,"12,994",22.28,4.42,6.79,6.79,5,27553,62.44,18.62,16.58,13.83,282.475,248.4583,1.6488,1.5897,"1,740",3.94
3691 碩禾,2013/2/1,296,299,287.5,295,672,-0.3378,1.5229,"13,016",22.31,4.43,6.78,6.78,5,"27,531",62.39,18.62,16.58,13.83,290.075,254.25,1.5716,1.5695,"1,812",4.1
3691 碩禾,2013/2/4,304.5,304.5,298,301,477,2.0339,1.081,"13,281",22.77,4.52,6.64,6.64,5,27531,62.39,18.62,16.58,13.83,290.875,255.3667,1.5539,1.5865,"1,949",4.41
3691 碩禾,2013/2/5,296,303,296,301,649,0,1.4708,"13,281",22.77,4.52,6.64,6.64,5,27531,62.39,18.62,16.58,13.83,291.625,256.5667,1.6447,1.5857,"2,006",4.54
3691 碩禾,2013/2/6,308.5,313,295.5,296,"1,009",-1.6611,2.2867,"13,061",22.39,4.44,6.76,6.76,5,27531,62.39,18.62,16.58,13.83,291.95,257.8333,1.5771,1.5928,"1,999",4.53
3691 碩禾,2013/2/18,306,306,298,298,540,0.6757,1.2238,"13,149",22.54,4.47,6.71,6.71,5,27531,62.39,18.62,16.58,13.83,292.1,259.1,1.6709,1.6237,"1,950",4.42
3691 碩禾,2013/2/19,302,303,299,300.5,474,0.8389,1.0742,"13,259",22.73,4.51,6.66,6.66,5,27531,62.39,18.62,16.58,13.83,292.375,260.325,1.581,1.6206,"2,030",4.6
3691 碩禾,2013/2/20,304,305.5,298,301,676,0.1664,1.532,"13,281",22.77,4.52,6.64,6.64,5,27531,62.39,18.62,16.58,13.83,292.475,261.5583,1.5132,1.5987,"2,143",4.85
3691 碩禾,2013/2/21,296,301,293,295,452,-1.9934,1.0244,"13,016",22.31,4.43,6.78,6.78,5,27531,62.39,18.62,16.58,13.83,292.825,262.8333,1.5909,1.6017,"2,222",5.03
3691 碩禾,2013/2/22,295,297,288,288,588,-2.3729,1.3326,"12,708",21.79,4.32,6.94,6.94,5,27531,62.39,18.62,16.58,13.83,292.875,264.05,1.6066,1.5897,"2,282",5.17
3691 碩禾,2013/2/23,288,291,286,290,290,0.6944,0.6572,"12,796",21.94,4.35,6.9,6.9,5,27531,62.39,18.62,16.58,13.83,293.825,265.2917,1.6294,1.5926,"2,302",5.21
3691 碩禾,2013/2/25,290,296.5,288,296,402,2.069,0.911,"13,061",22.39,4.44,6.76,6.76,5,27531,62.39,18.62,16.58,13.83,294.525,266.575,1.6434,1.5857,"2,315",5.24
