證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
3576 聯合再生,2013/1/2,19.1,19.15,18.5,18.7,"8,769",-1.8373,1.9032,"8,615",0,0.73,0,0,37,"96,195",20.87,-32.99,-19.55,-9.07,17.5675,16.5092,1.8156,1.5273,"34,430",7.47
3576 聯合再生,2013/1/3,19.2,20,19.05,19.6,"20,914",4.8128,4.5392,"9,030",0,0.76,0,0,37,96195,20.87,-32.99,-19.55,-9.07,17.67,16.55,1.9233,1.5478,"32,814",7.12
3576 聯合再生,2013/1/4,20,20.95,19.9,20.45,"33,483",4.3367,7.2671,"9,422",0,0.8,0,0,37,96195,20.87,-32.99,-19.55,-9.07,17.845,16.6017,1.869,1.536,"32,969",7.15
3576 聯合再生,2013/1/7,21.05,21.85,20.8,21.85,"24,925",6.846,5.4097,"10,067",0,0.85,0,0,37,96195,20.87,-32.99,-19.55,-9.07,18.11,16.6817,1.7436,1.5171,"33,289",7.22
3576 聯合再生,2013/1/8,21.85,22.75,21,22.5,"34,848",2.9748,7.5634,"10,366",0,0.87,0,0,37,96195,20.87,-32.99,-19.55,-9.07,18.4075,16.7792,1.6048,1.5097,"36,369",7.89
3576 聯合再生,2013/1/9,22.8,23.2,22.25,22.55,"23,224",0.2222,5.0405,"10,389",0,0.88,0,0,37,96195,20.87,-32.99,-19.55,-9.07,18.6975,16.875,1.5774,1.5068,"37,717",8.18
3576 聯合再生,2013/1/10,23,24.1,22.3,22.7,"49,016",0.6652,10.6384,"10,458",0,0.88,0,0,37,96195,20.87,-32.99,-19.55,-9.07,18.98,16.9658,1.5509,1.5142,"37,946",8.23
3576 聯合再生,2013/1/11,22.85,23.5,22.6,23.5,"25,185",3.5242,5.4661,"10,827",0,0.91,0,0,37,96195,20.87,-32.99,-19.55,-9.07,19.245,17.075,1.7343,1.5143,"37,492",8.13
3576 聯合再生,2013/1/14,23.3,25,22.85,24.75,"26,357",5.3191,5.7205,"11,403",0,0.96,0,0,37,96195,20.87,-32.99,-19.55,-9.07,19.585,17.2075,1.719,1.5139,"39,195",8.5
3576 聯合再生,2013/1/15,24.75,25.5,23.8,24.5,"30,129",-1.0101,6.5392,"11,288",0,0.95,0,0,37,96195,20.87,-32.99,-19.55,-9.07,19.955,17.3417,1.7036,1.5137,"38,827",8.42
3576 聯合再生,2013/1/16,24.3,24.3,22.9,23.1,"18,193",-5.7143,3.9486,"10,643",0,0.9,0,0,37,96195,20.87,-32.99,-19.55,-9.07,20.255,17.4475,1.8251,1.5383,"39,644",8.6
3576 聯合再生,2013/1/17,23.45,23.65,21.6,22.1,"22,321",-4.329,4.8445,"10,182",0,0.86,0,0,37,96195,20.87,-32.99,-19.55,-9.07,20.505,17.5392,1.9096,1.5462,"40,020",8.68
3576 聯合再生,2013/1/18,22.6,23.3,22.1,23.3,"22,186",5.4299,4.8152,"10,735",0,0.91,0,0,37,96195,20.87,-32.99,-19.55,-9.07,20.7975,17.6608,1.9812,1.5617,"40,524",8.79
3576 聯合再生,2013/1/21,23.3,23.6,22.85,23,"13,642",-1.2876,2.9609,"10,597",0,0.89,0,0,37,96195,20.87,-32.99,-19.55,-9.07,21.075,17.7958,1.9911,1.5624,"38,979",8.45
3576 聯合再生,2013/1/22,23.3,23.7,22.2,22.4,"22,535",-2.6087,4.891,"10,320",0,0.87,0,0,37,96195,20.87,-32.99,-19.55,-9.07,21.305,17.9375,1.9371,1.5569,"37,527",8.14
