證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
6244 茂迪,2013/1/2,27.25,27.5,26.75,27.2,"3,202",-0.1835,0.7321,"11,897",0,0.8,25.74,0,34,"197,914",45.24,-31.6,-16.98,-11.18,26.05,25.5067,2.112,1.2277,"30,577",6.99
6244 茂迪,2013/1/3,28,29.1,27.8,29.1,"15,302",6.9853,3.4984,"12,728",0,0.86,24.05,0,34,197914,45.24,-31.6,-16.98,-11.18,26.2175,25.5125,2.1922,1.2389,"31,802",7.27
6244 茂迪,2013/1/4,29.5,31.1,29.5,31.1,"23,988",6.8729,5.4843,"13,603",0,0.91,22.51,0,34,197914,45.24,-31.6,-16.98,-11.18,26.48,25.5517,2.1804,1.2335,"29,451",6.73
6244 茂迪,2013/1/7,32.05,33.25,31.6,33.25,"16,880",6.9132,3.8592,"14,543",0,0.98,21.05,0,34,197914,45.24,-31.6,-16.98,-11.18,26.8925,25.6333,2.2192,1.2385,"31,228",7.13
6244 茂迪,2013/1/8,33.25,34.65,32.75,34.6,"30,310",4.0602,6.9296,"15,133",0,1.02,20.23,0,34,197914,45.24,-31.6,-16.98,-11.18,27.38,25.7408,2.1964,1.2356,"34,549",7.89
6244 茂迪,2013/1/9,34.6,35.5,34,35,"16,995",1.1561,3.8855,"15,308",0,1.03,20,0,34,197914,45.24,-31.6,-16.98,-11.18,27.88,25.8517,2.2149,1.2387,"35,466",8.1
6244 茂迪,2013/1/10,35.6,37.45,35,35.6,"29,108",1.7143,6.6548,"15,571",0,1.05,19.66,0,34,197914,45.24,-31.6,-16.98,-11.18,28.3675,25.9675,2.2154,1.238,"35,071",8.01
6244 茂迪,2013/1/11,36.05,36.3,35.1,36.1,"10,858",1.4045,2.4824,"15,790",0,1.06,19.39,0,34,197914,45.24,-31.6,-16.98,-11.18,28.8475,26.095,2.2461,1.2409,"35,407",8.09
6244 茂迪,2013/1/14,35.7,36.8,35.55,36.5,"11,172",1.108,2.5542,"15,965",0,1.07,19.18,0,34,197914,45.24,-31.6,-16.98,-11.18,29.375,26.2342,2.2405,1.2471,"32,135",7.34
6244 茂迪,2013/1/15,36,36.8,34.45,34.9,"14,435",-4.3836,3.3002,"15,265",0,1.03,20.06,0,34,197914,45.24,-31.6,-16.98,-11.18,29.8825,26.3517,2.2819,1.2518,"33,244",7.6
6244 茂迪,2013/1/16,35,35.4,34.05,34.9,"13,370",0,3.0567,"15,265",0,1.03,20.06,0,34,197914,45.24,-31.6,-16.98,-11.18,30.375,26.4683,2.2854,1.2523,"30,614",6.99
6244 茂迪,2013/1/17,35,35.2,32.5,32.5,"12,817",-6.8768,2.9303,"14,215",0,0.96,21.54,0,34,197914,45.24,-31.6,-16.98,-11.18,30.76,26.5483,2.3304,1.2975,"32,879",7.51
6244 茂迪,2013/1/18,32.5,33.1,32.1,32.95,"8,511",1.3846,1.9458,"14,412",0,0.97,21.24,0,34,197914,45.24,-31.6,-16.98,-11.18,31.095,26.6467,2.2768,1.297,"32,331",7.39
6244 茂迪,2013/1/21,33.6,33.6,32.7,33.35,"5,746",1.214,1.3137,"14,587",0,0.98,20.99,0,34,197914,45.24,-31.6,-16.98,-11.18,31.4775,26.7825,2.2757,1.2979,"33,537",7.66
6244 茂迪,2013/1/22,34.8,34.8,33.3,33.75,"9,433",1.1994,2.1566,"14,762",0,0.99,20.74,0,34,197914,45.24,-31.6,-16.98,-11.18,31.83,26.9542,2.2659,1.2989,"33,781",7.72
6244 茂迪,2013/1/23,34.1,34.1,33.5,33.9,"4,255",0.4444,0.9728,"14,827",0,1,20.65,0,34,197914,45.24,-31.6,-16.98,-11.18,32.2075,27.1283,2.266,1.2991,"34,239",7.82
6244 茂迪,2013/1/24,33.95,34.5,33.75,34.2,"4,151",0.885,0.949,"14,959",0,1.01,20.47,0,34,197914,45.24,-31.6,-16.98,-11.18,32.5525,27.3233,2.2591,1.2979,"34,816",7.95
