證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
8908 欣雄,2013/1/2,26.9,26.9,26.1,26.8,8,3.0769,0.0083,"2,584",18.74,2.25,2.99,0,11,"83,179",86.25,15.68,6.94,1.86,25.745,24.3558,0.0574,0.0457,34,0.03
8908 欣雄,2013/1/3,27,27,26.8,26.8,30,0,0.0311,"2,584",18.74,2.25,2.99,0,11,83179,86.25,15.68,6.94,1.86,25.865,24.4033,0.0551,0.0383,34,0.03
8908 欣雄,2013/1/4,26.6,26.9,26.6,26.9,16,0.3731,0.0166,"2,594",18.81,2.26,2.97,0,11,83179,86.25,15.68,6.94,1.86,25.9825,24.4517,0.0551,0.0385,34,0.03
8908 欣雄,2013/1/7,27.3,27.3,27.2,27.2,4,1.1152,0.0041,"2,623",19.02,2.28,2.94,0,11,83179,86.25,15.68,6.94,1.86,26.0725,24.5058,0.0611,0.0401,34,0.03
8908 欣雄,2013/1/8,27.2,27.3,27.1,27.3,36,0.3676,0.0373,"2,632",19.09,2.29,2.93,0,11,83179,86.25,15.68,6.94,1.86,26.1875,24.5617,0.0819,0.0399,34,0.03
8908 欣雄,2013/1/9,27.2,28.15,27,27.6,25,1.0989,0.0259,"2,661",19.3,2.32,2.9,0,11,83179,86.25,15.68,6.94,1.86,26.3175,24.6233,0.0856,0.0414,34,0.03
8908 欣雄,2013/1/10,27.35,27.35,27.35,27.35,2,-0.9058,0.0021,"2,637",19.13,2.3,2.93,0,11,83179,86.25,15.68,6.94,1.86,26.4275,24.6892,0.0852,0.0418,34,0.03
8908 欣雄,2013/1/11,27.3,27.7,27.3,27.5,5,0.5484,0.0052,"2,652",19.23,2.31,2.91,0,11,83179,86.25,15.68,6.94,1.86,26.5325,24.7617,0.0881,0.0411,34,0.03
8908 欣雄,2013/1/14,27.5,27.6,27.5,27.5,11,0,0.0114,"2,652",19.23,2.31,2.91,0,11,83179,86.25,15.68,6.94,1.86,26.625,24.8267,0.0848,0.0341,34,0.03
8908 欣雄,2013/1/15,27.6,27.75,27.4,27.5,10,0,0.0104,"2,652",19.23,2.31,2.91,0,11,83179,86.25,15.68,6.94,1.86,26.71,24.8917,0.0841,0.0342,34,0.03
8908 欣雄,2013/1/16,27.6,27.6,27.5,27.6,11,0.3636,0.0114,"2,661",19.3,2.32,2.9,0,11,83179,86.25,15.68,6.94,1.86,26.7925,24.9583,0.0875,0.0285,34,0.03
8908 欣雄,2013/1/17,27.8,27.8,27.45,27.5,10,-0.3623,0.0104,"2,652",19.23,2.31,2.91,0,11,83179,86.25,15.68,6.94,1.86,26.8675,25.025,0.1205,0.0404,34,0.03
8908 欣雄,2013/1/18,27.45,27.7,27.45,27.7,14,0.7273,0.0145,"2,671",19.37,2.33,2.89,0,11,83179,86.25,15.68,6.94,1.86,26.9525,25.0875,0.1227,0.043,34,0.03
8908 欣雄,2013/1/21,27.8,27.8,27.8,27.8,5,0.361,0.0052,"2,680",19.44,2.33,2.88,0,11,83179,86.25,15.68,6.94,1.86,27.0425,25.1542,0.1367,0.0432,34,0.03
8908 欣雄,2013/1/22,28.8,28.8,27.95,28,15,0.7194,0.0156,"2,700",19.58,2.35,2.86,0,11,83179,86.25,15.68,6.94,1.86,27.1375,25.2308,0.1391,0.0441,34,0.03
8908 欣雄,2013/1/23,28,28,27.95,27.95,2,-0.1786,0.0021,"2,695",19.55,2.35,2.86,0,11,83179,86.25,15.68,6.94,1.86,27.23,25.3008,0.1374,0.044,34,0.03
8908 欣雄,2013/1/24,27.7,28,27.7,28,7,0.1789,0.0073,"2,700",19.58,2.35,2.86,0,11,83179,86.25,15.68,6.94,1.86,27.3,25.3792,0.1339,0.044,34,0.03
8908 欣雄,2013/1/25,27.8,28.1,27.75,28,23,0,0.0238,"2,700",19.58,2.35,2.86,0,11,83179,86.25,15.68,6.94,1.86,27.375,25.4575,0.1812,0.0441,34,0.03
8908 欣雄,2013/1/28,27.95,28,27.95,27.95,9,-0.1786,0.0093,"2,695",19.55,2.35,2.86,0,11,83179,86.25,15.68,6.94,1.86,27.4475,25.54,0.1637,0.0441,34,0.03
8908 欣雄,2013/1/29,26.8,27.75,26.8,27.75,10,-0.7156,0.0104,"2,676",19.41,2.33,2.88,0,11,83179,86.25,15.68,6.94,1.86,27.535,25.615,0.0457,0.0409,34,0.03
