證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
1314 中石化,2013/1/2,18.2,18.3,18,18.05,"19,129",0.2778,0.8245,"41,875",15.17,1.17,19.39,8.25,151,"885,105",38.15,0.91,0.67,-0.26,18.155,19.0658,1.5856,1.3915,"514,061",22.15
1314 中石化,2013/1/3,18.2,18.45,18.2,18.25,"26,808",1.108,1.1555,"42,339",15.34,1.18,19.18,8.16,151,885105,38.15,0.91,0.67,-0.26,18.1425,18.9767,1.5863,1.3979,"515,549",22.22
1314 中石化,2013/1/4,18.3,18.75,18.2,18.45,"50,590",1.0959,2.1806,"42,803",15.5,1.19,18.97,8.07,151,885105,38.15,0.91,0.67,-0.26,18.1475,18.8958,1.5639,1.3954,"514,993",22.19
1314 中石化,2013/1/7,18.55,19.7,18.55,19.7,"142,672",6.7751,6.1497,"45,703",16.55,1.28,17.77,7.56,151,885105,38.15,0.91,0.67,-0.26,18.225,18.84,1.4364,1.3582,"507,416",21.87
1314 中石化,2013/1/8,19.7,19.75,19.2,19.2,"97,505",-2.5381,4.2028,"44,543",16.13,1.24,18.23,7.76,151,885105,38.15,0.91,0.67,-0.26,18.265,18.7817,1.4227,1.3619,"493,238",21.26
1314 中石化,2013/1/9,19.4,19.6,19,19.1,"76,451",-0.5208,3.2953,"44,311",16.05,1.24,18.32,7.8,151,885105,38.15,0.91,0.67,-0.26,18.3225,18.7183,1.4237,1.3637,"481,688",20.76
1314 中石化,2013/1/10,19.35,19.4,19,19.15,"44,097",0.2618,1.9007,"44,427",16.09,1.24,18.28,7.78,151,885105,38.15,0.91,0.67,-0.26,18.375,18.6475,1.4028,1.3637,"482,310",20.78
1314 中石化,2013/1/11,19.4,19.5,19.15,19.2,"24,649",0.2611,1.0625,"44,543",16.13,1.24,18.23,7.76,151,885105,38.15,0.91,0.67,-0.26,18.4075,18.5825,1.4749,1.3629,"482,905",20.81
1314 中石化,2013/1/14,19.2,19.65,19.2,19.6,"49,013",2.0833,2.1126,"45,471",16.47,1.27,17.86,7.6,151,885105,38.15,0.91,0.67,-0.26,18.47,18.5292,1.4691,1.3628,"491,023",21.16
1314 中石化,2013/1/15,19.75,20.05,19.3,19.3,"65,820",-1.5306,2.8371,"44,775",16.22,1.25,18.13,7.72,151,885105,38.15,0.91,0.67,-0.26,18.5075,18.4733,1.4674,1.3642,"489,588",21.1
1314 中石化,2013/1/16,19.3,19.45,19,19,"35,411",-1.5544,1.5263,"44,079",15.97,1.23,18.42,7.84,151,885105,38.15,0.91,0.67,-0.26,18.54,18.415,1.4742,1.3761,"490,292",21.13
1314 中石化,2013/1/17,19.1,19.2,18.05,18.1,"64,979",-4.7368,2.8008,"41,991",15.21,1.17,19.34,8.23,151,885105,38.15,0.91,0.67,-0.26,18.525,18.3333,1.5657,1.3668,"493,128",21.25
