證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
1304 台聚,2013/1/2,23.5,23.5,23.25,23.3,"2,275",0.2151,0.1991,"26,622",12.53,1.52,10.73,3.73,55,"657,210",57.51,10.29,5.57,1.43,22.6575,22.7383,1.1615,0.9893,"425,940",37.27
1304 台聚,2013/1/3,23.45,23.65,23.35,23.35,"3,163",0.2146,0.2768,"26,679",12.55,1.52,10.71,3.72,55,657210,57.51,10.29,5.57,1.43,22.675,22.7208,1.1563,0.9862,"425,983",37.28
1304 台聚,2013/1/4,23.5,24.25,23.35,23.95,"9,459",2.5696,0.8278,"27,365",12.88,1.56,10.44,3.63,55,657210,57.51,10.29,5.57,1.43,22.7275,22.7167,1.1226,0.9831,"426,180",37.29
1304 台聚,2013/1/7,24.05,25.35,24.05,25.2,"13,855",5.2192,1.2126,"28,793",13.55,1.64,9.92,3.45,55,657210,57.51,10.29,5.57,1.43,22.8525,22.7342,1.027,0.96,"426,087",37.29
1304 台聚,2013/1/8,25.2,25.4,24.55,24.55,"7,042",-2.5794,0.6163,"28,050",13.2,1.6,10.18,3.54,55,657210,57.51,10.29,5.57,1.43,22.9525,22.7433,1.0219,0.9644,"425,913",37.27
1304 台聚,2013/1/9,24.6,24.75,24.4,24.45,"4,094",-0.4073,0.3583,"27,936",13.15,1.59,10.22,3.56,55,657210,57.51,10.29,5.57,1.43,23.055,22.7492,1.0151,0.963,"425,813",37.26
1304 台聚,2013/1/10,24.65,24.85,24.45,24.5,"4,097",0.2045,0.3586,"27,993",13.17,1.6,10.2,3.55,55,657210,57.51,10.29,5.57,1.43,23.1525,22.7525,0.9994,0.9508,"425,990",37.28
1304 台聚,2013/1/11,24.8,25,24.5,24.75,"4,977",1.0204,0.4356,"28,279",13.31,1.61,10.1,3.51,55,657210,57.51,10.29,5.57,1.43,23.255,22.7617,1.0528,0.9514,"426,806",37.35
1304 台聚,2013/1/14,24.75,24.75,24.3,24.55,"2,702",-0.8081,0.2365,"28,050",13.2,1.6,10.18,3.54,55,657210,57.51,10.29,5.57,1.43,23.3575,22.77,1.0535,0.9517,"426,945",37.36
1304 台聚,2013/1/15,24.7,24.75,24.05,24.1,"3,308",-1.833,0.2895,"27,536",12.96,1.57,10.37,3.61,55,657210,57.51,10.29,5.57,1.43,23.4475,22.775,1.072,0.9556,"427,152",37.38
