證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
8926 台汽電,2013/1/2,18.9,19.6,18.9,19.5,"1,376",3.1746,0.2336,"11,486",13,1.41,7.69,7.69,38,"388,499",65.95,7.5,5.27,1.24,18.85,18.95,0.0636,0.3852,"25,523",4.33
8926 台汽電,2013/1/3,19.65,19.95,19.65,19.65,"2,112",0.7692,0.3585,"11,574",13.1,1.42,7.63,7.63,38,388499,65.95,7.5,5.27,1.24,18.9,18.96,0.0731,0.3822,"25,541",4.33
8926 台汽電,2013/1/4,19.65,19.65,19.45,19.45,493,-1.0178,0.0837,"11,456",12.97,1.4,7.71,7.71,38,388499,65.95,7.5,5.27,1.24,18.93,18.96,0.084,0.3834,"25,500",4.32
8926 台汽電,2013/1/7,19.45,19.65,19.45,19.65,497,1.0283,0.0844,"11,574",13.1,1.42,7.63,7.63,38,388499,65.95,7.5,5.27,1.24,18.97,18.96,0.0668,0.3809,"25,511",4.33
8926 台汽電,2013/1/8,19.65,19.7,19.45,19.6,467,-0.2545,0.0793,"11,545",13.07,1.41,7.65,7.65,38,388499,65.95,7.5,5.27,1.24,19.01,18.97,0.0768,0.3811,"25,554",4.33
8926 台汽電,2013/1/9,19.6,19.6,19.4,19.6,377,0,0.064,"11,545",13.07,1.41,7.65,7.65,38,388499,65.95,7.5,5.27,1.24,19.05,18.97,0.0726,0.3799,"25,578",4.34
8926 台汽電,2013/1/10,19.6,19.7,19.55,19.65,312,0.2551,0.053,"11,574",13.1,1.42,7.63,7.63,38,388499,65.95,7.5,5.27,1.24,19.1,18.98,0.0763,0.3792,"25,600",4.34
8926 台汽電,2013/1/11,19.65,19.65,19.6,19.6,456,-0.2545,0.0774,"11,545",13.07,1.41,7.65,7.65,38,388499,65.95,7.5,5.27,1.24,19.13,18.99,0.0824,0.3793,"25,696",4.36
8926 台汽電,2013/1/14,19.6,19.6,19.5,19.6,687,0,0.1166,"11,545",13.07,1.41,7.65,7.65,38,388499,65.95,7.5,5.27,1.24,19.18,18.99,0.0769,0.3786,"25,685",4.36
8926 台汽電,2013/1/15,19.5,19.55,19.45,19.5,574,-0.5102,0.0974,"11,486",13,1.41,7.69,7.69,38,388499,65.95,7.5,5.27,1.24,19.21,19,0.0869,0.3794,"25,725",4.36
8926 台汽電,2013/1/16,19.5,19.55,19.4,19.5,530,0,0.09,"11,486",13,1.41,7.69,7.69,38,388499,65.95,7.5,5.27,1.24,19.24,19,0.0911,0.384,"25,702",4.36
8926 台汽電,2013/1/17,19.5,19.5,19.35,19.35,458,-0.7692,0.0778,"11,398",12.9,1.4,7.75,7.75,38,388499,65.95,7.5,5.27,1.24,19.27,19.01,0.111,0.3832,"25,635",4.35
8926 台汽電,2013/1/18,19.35,19.45,19.3,19.35,333,0,0.0565,"11,398",12.9,1.4,7.75,7.75,38,388499,65.95,7.5,5.27,1.24,19.3,19.01,0.105,0.379,"25,659",4.35
