證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
8917 欣泰,2013/1/2,50,50,50,50,2,-1.9608,0.0017,"5,932",25.25,3.33,3.6,2.48,17,"73,554",61.99,11.38,7.78,1.8,47.8375,46.0142,0.1042,0.0053,0,0
8917 欣泰,2013/1/3,48.5,48.5,48.5,48.5,1,-3,0.0008,"5,754",24.49,3.23,3.71,2.55,17,73554,61.99,11.38,7.78,1.8,47.9875,46.0892,0.054,-0.0013,0,0
8917 欣泰,2013/1/4,46.05,46.05,46.05,46.05,2,-5.0515,0.0017,"5,463",23.26,3.07,3.91,2.69,17,73554,61.99,11.38,7.78,1.8,48.015,46.1233,0.0579,0.0008,0,0
8917 欣泰,2013/1/7,49.25,49.25,46.85,49.1,26,6.6232,0.0219,"5,825",24.8,3.27,3.67,2.52,17,73554,61.99,11.38,7.78,1.8,48.195,46.21,0.0977,0.0059,0,0
8917 欣泰,2013/1/8,49.5,49.5,49.45,49.5,16,0.8147,0.0135,"5,872",25,3.3,3.64,2.5,17,73554,61.99,11.38,7.78,1.8,48.385,46.3033,0.0944,0.0054,0,0
8917 欣泰,2013/1/9,49.5,50,49.5,50,8,1.0101,0.0067,"5,932",25.25,3.33,3.6,2.48,17,73554,61.99,11.38,7.78,1.8,48.6,46.4033,0.1014,0.0069,0,0
8917 欣泰,2013/1/10,49.5,49.5,49.5,49.5,1,-1,0.0008,"5,872",25,3.3,3.64,2.5,17,73554,61.99,11.38,7.78,1.8,48.785,46.495,0.1009,0.007,0,0
8917 欣泰,2013/1/11,49.5,49.5,49.5,49.5,0,0,0,"5,872",25,3.3,3.64,2.5,17,73554,61.99,11.38,7.78,1.8,48.82,46.5867,0.0978,0.0071,0,0
8917 欣泰,2013/1/14,49.5,50,49.5,50,2,1.0101,0.0017,"5,932",25.25,3.33,3.6,2.48,17,73554,61.99,11.38,7.78,1.8,48.92,46.6833,0.0979,0.0078,0,0
8917 欣泰,2013/1/15,50,50,50,50,0,0,0,"5,932",25.25,3.33,3.6,2.48,17,73554,61.99,11.38,7.78,1.8,49.07,46.7833,0.0971,0.008,0,0
