證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
1303 南亞,2013/1/2,56.6,56.8,55.7,56.6,"5,575",1.0714,0.071,"444,440",628.89,1.8,3.71,3.71,286,"6,426,926",81.84,-0.42,-0.24,0.32,54.53,52.61,1.635,1.0756,"2,064,766",26.29
1303 南亞,2013/1/3,57.1,59,57.1,59,"10,739",4.2403,0.1368,"463,285",655.56,1.88,3.56,3.56,286,6426926,81.84,-0.42,-0.24,0.32,54.93,52.65,1.6906,1.081,"2,069,348",26.35
1303 南亞,2013/1/4,58.5,60.4,57.6,60,"16,265",1.6949,0.2071,"471,137",666.67,1.91,3.5,3.5,286,6426926,81.84,-0.42,-0.24,0.32,55.36,52.73,1.6666,1.0774,"2,073,393",26.4
1303 南亞,2013/1/7,59.8,59.9,58.3,58.9,"10,774",-1.8333,0.1372,"462,500",654.44,1.88,3.57,3.57,286,6426926,81.84,-0.42,-0.24,0.32,55.71,52.79,1.6797,1.0817,"2,075,283",26.42
1303 南亞,2013/1/8,58.1,58.8,57.9,58.5,"5,765",-0.6791,0.0734,"459,359",650,1.86,3.59,3.59,286,6426926,81.84,-0.42,-0.24,0.32,56.02,52.84,1.6766,1.0821,"2,075,966",26.43
1303 南亞,2013/1/9,58.8,58.8,57.7,57.7,"6,566",-1.3675,0.0836,"453,077",641.11,1.84,3.64,3.64,286,6426926,81.84,-0.42,-0.24,0.32,56.29,52.87,1.6729,1.0828,"2,074,705",26.42
1303 南亞,2013/1/10,58.5,60,58.2,58.9,"12,308",2.0797,0.1567,"462,500",654.44,1.88,3.57,3.57,286,6426926,81.84,-0.42,-0.24,0.32,56.55,52.92,1.6839,1.0838,"2,077,609",26.45
1303 南亞,2013/1/11,59.5,59.7,58.9,59.3,"3,998",0.6791,0.0509,"465,641",658.89,1.89,3.54,3.54,286,6426926,81.84,-0.42,-0.24,0.32,56.7,52.97,1.6816,1.0841,"2,078,821",26.47
1303 南亞,2013/1/14,58.8,59.4,57.5,59.4,"5,060",0.1686,0.0644,"466,426",660,1.89,3.54,3.54,286,6426926,81.84,-0.42,-0.24,0.32,56.9,53.03,1.6918,1.0842,"2,077,098",26.45
1303 南亞,2013/1/15,59.2,59.4,58.6,59.4,"4,077",0,0.0519,"466,426",660,1.89,3.54,3.54,286,6426926,81.84,-0.42,-0.24,0.32,57.08,53.11,1.6664,1.0813,"2,078,549",26.47
1303 南亞,2013/1/16,59.4,59.4,58.5,58.5,"5,150",-1.5152,0.0656,"459,359",650,1.86,3.59,3.59,286,6426926,81.84,-0.42,-0.24,0.32,57.2,53.19,1.6857,1.0892,"2,079,249",26.47
1303 南亞,2013/1/17,59.3,59.3,58.1,58.8,"8,389",0.5128,0.1068,"461,715",653.33,1.87,3.57,3.57,286,6426926,81.84,-0.42,-0.24,0.32,57.34,53.28,1.6242,1.0921,"2,080,171",26.49
1303 南亞,2013/1/18,59.4,59.5,58.3,59.4,"4,063",1.0204,0.0517,"466,426",660,1.89,3.54,3.54,286,6426926,81.84,-0.42,-0.24,0.32,57.59,53.39,1.5731,1.0883,"2,080,787",26.49
1303 南亞,2013/1/21,59.4,59.4,58.4,58.8,"3,175",-1.0101,0.0404,"461,715",653.33,1.87,3.57,3.57,286,6426926,81.84,-0.42,-0.24,0.32,57.8,53.52,1.5823,1.0888,"2,081,810",26.51
1303 南亞,2013/1/22,59,59.2,58.2,59,"3,173",0.3401,0.0404,"463,285",655.56,1.88,3.56,3.56,286,6426926,81.84,-0.42,-0.24,0.32,58.03,53.66,1.5679,1.0886,"2,083,566",26.53
1303 南亞,2013/1/23,59.2,59.3,58.7,59.3,"3,226",0.5085,0.0411,"465,641",658.89,1.89,3.54,3.54,286,6426926,81.84,-0.42,-0.24,0.32,58.26,53.81,1.5479,1.0879,"2,085,070",26.55
1303 南亞,2013/1/24,59.4,59.4,58.3,58.9,"4,214",-0.6745,0.0537,"462,500",654.44,1.88,3.57,3.57,286,6426926,81.84,-0.42,-0.24,0.32,58.41,53.93,1.5357,1.0878,"2,085,464",26.55
1303 南亞,2013/1/25,58.2,58.5,56.5,58.1,"8,017",-1.3582,0.1021,"456,218",645.56,1.85,3.61,3.61,286,6426926,81.84,-0.42,-0.24,0.32,58.52,54.04,1.5615,1.0892,"2,084,865",26.55
1303 南亞,2013/1/28,58.2,58.6,57.5,58,"2,616",-0.1721,0.0333,"455,433",644.44,1.85,3.62,3.62,286,6426926,81.84,-0.42,-0.24,0.32,58.62,54.13,1.4891,1.0876,"2,085,577",26.56
1303 南亞,2013/1/29,58,58.6,57.8,58.6,"3,203",1.0345,0.0408,"460,144",651.11,1.87,3.58,3.58,286,6426926,81.84,-0.42,-0.24,0.32,58.76,54.24,1.4693,1.0868,"2,087,338",26.58
1303 南亞,2013/1/30,58.8,59.4,58.5,59.4,"5,735",1.3652,0.073,"466,426",660,1.89,3.54,3.54,286,6426926,81.84,-0.42,-0.24,0.32,58.89,54.36,1.5148,1.1245,"2,089,777",26.61
1303 南亞,2013/1/31,58.9,60,58.7,60,"6,782",1.0101,0.0864,"471,137",666.67,1.91,3.5,3.5,286,6426926,81.84,-0.42,-0.24,0.32,58.95,54.49,1.5348,1.1356,"2,091,614",26.63
1303 南亞,2013/2/1,59.4,59.6,59.1,59.6,"4,137",-0.6667,0.0527,"467,996",662.22,1.9,3.52,3.52,285,"6,447,195",82.1,-0.42,-0.24,0.32,58.93,54.62,1.5371,1.1372,"2,091,121",26.63
1303 南亞,2013/2/4,59,60,59,60,"4,987",0.6711,0.0635,"471,137",666.67,1.91,3.5,3.5,285,6447195,82.1,-0.42,-0.24,0.32,58.98,54.76,1.5079,1.1428,"2,092,199",26.64
1303 南亞,2013/2/5,60,60,59.2,59.3,"5,163",-1.1667,0.0658,"465,641",658.89,1.89,3.54,3.54,285,6447195,82.1,-0.42,-0.24,0.32,59.02,54.9,1.5025,1.1442,"2,093,821",26.66
1303 南亞,2013/2/6,60,60,58.8,58.8,"8,906",-0.8432,0.1134,"461,715",653.33,1.87,3.57,3.57,285,6447195,82.1,-0.42,-0.24,0.32,59.07,55.06,1.5094,1.1469,"2,095,070",26.68
1303 南亞,2013/2/18,59.9,60,58,58,"10,129",-1.3605,0.129,"455,433",644.44,1.85,3.62,3.62,285,6447195,82.1,-0.42,-0.24,0.32,59.03,55.22,1.4376,1.1833,"2,095,962",26.69
1303 南亞,2013/2/19,58.8,58.8,58,58.4,"4,018",0.6897,0.0512,"458,574",648.89,1.86,3.6,3.6,285,6447195,82.1,-0.42,-0.24,0.32,58.99,55.41,1.4497,1.1837,"2,095,999",26.69
1303 南亞,2013/2/20,59.2,60,58.1,60,"9,876",2.7397,0.1258,"471,137",666.67,1.91,3.5,3.5,285,6447195,82.1,-0.42,-0.24,0.32,59.02,55.62,1.4797,1.1794,"2,101,140",26.75
1303 南亞,2013/2/21,59.9,60,59,59.9,"8,262",-0.1667,0.1052,"470,352",665.56,1.91,3.51,3.51,285,6447195,82.1,-0.42,-0.24,0.32,59.04,55.82,1.3811,1.1755,"2,103,071",26.78
1303 南亞,2013/2/22,59.8,59.8,59,59.4,"3,492",-0.8347,0.0445,"466,426",660,1.89,3.54,3.54,285,6447195,82.1,-0.42,-0.24,0.32,59.09,56.01,1.3904,1.174,"2,103,249",26.78
1303 南亞,2013/2/23,59.4,59.4,59.1,59.2,821,-0.3367,0.0105,"464,856",657.78,1.89,3.55,3.55,285,6447195,82.1,-0.42,-0.24,0.32,59.11,56.23,1.142,1.1742,"2,103,255",26.78
1303 南亞,2013/2/25,59.1,59.1,58.3,58.5,"5,377",-1.1824,0.0685,"459,359",650,1.86,3.59,3.59,285,6447195,82.1,-0.42,-0.24,0.32,59.06,56.43,1.162,1.1756,"2,101,836",26.76
1303 南亞,2013/2/26,58,58.5,58,58.4,"8,745",-0.1709,0.1114,"458,574",648.89,1.86,3.6,3.6,285,6447195,82.1,-0.42,-0.24,0.32,59.04,56.59,1.1243,1.1722,"2,101,783",26.76
1303 南亞,2013/2/27,58.5,58.5,56.9,56.9,"5,497",-2.5685,0.07,"446,795",632.22,1.81,3.69,3.69,285,6447195,82.1,-0.42,-0.24,0.32,58.93,56.7,1.0985,1.1695,"2,101,752",26.76
1303 南亞,2013/3/1,57.8,58.4,56.7,57.5,"10,085",1.0545,0.1284,"451,507",638.89,1.83,3.65,3.65,291,"6,448,641",82.12,-0.42,-0.24,0.32,58.84,56.81,1.1576,1.1867,"2,102,556",26.77
1303 南亞,2013/3/4,57.9,58.3,55.3,55.3,"12,689",-3.8261,0.1616,"434,232",614.44,1.76,3.8,3.8,291,6448641,82.12,-0.42,-0.24,0.32,58.66,56.88,1.2834,1.1991,"2,096,486",26.69
1303 南亞,2013/3/5,56,56,54.6,54.7,"8,313",-1.085,0.1059,"429,520",607.78,1.74,3.84,3.84,291,6448641,82.12,-0.42,-0.24,0.32,58.49,56.94,1.2363,1.1939,"2,093,627",26.66
1303 南亞,2013/3/6,54.8,56.5,54.8,56,"5,495",2.3766,0.07,"439,728",622.22,1.78,3.75,3.75,291,6448641,82.12,-0.42,-0.24,0.32,58.39,57.02,1.2668,1.1981,"2,094,607",26.67
1303 南亞,2013/3/7,55.9,56.3,55.6,55.9,"2,320",-0.1786,0.0295,"438,943",621.11,1.78,3.76,3.76,291,6448641,82.12,-0.42,-0.24,0.32,58.26,57.09,1.2619,1.1962,"2,095,036",26.68
1303 南亞,2013/3/8,55.9,56.5,55.9,56.3,"5,863",0.7156,0.0747,"442,084",625.56,1.79,3.73,3.73,291,6448641,82.12,-0.42,-0.24,0.32,58.1,57.18,1.2572,1.1961,"2,095,982",26.69
1303 南亞,2013/3/11,56.8,58.4,56.2,57.7,"8,224",2.4867,0.1047,"453,077",641.11,1.84,3.64,3.64,291,6448641,82.12,-0.42,-0.24,0.32,57.99,57.29,1.2954,1.2004,"2,097,744",26.71
1303 南亞,2013/3/12,57.7,58.4,57.6,58.1,"5,220",0.6932,0.0665,"456,218",645.56,1.85,3.61,3.61,291,6448641,82.12,-0.42,-0.24,0.32,57.92,57.4,1.213,1.1956,"2,098,136",26.72
1303 南亞,2013/3/13,58,58,56.1,56.1,"5,469",-3.4423,0.0696,"440,513",623.33,1.79,3.74,3.74,291,6448641,82.12,-0.42,-0.24,0.32,57.72,57.47,1.0954,1.1859,"2,096,095",26.69
1303 南亞,2013/3/14,56,56,54.6,54.6,"8,458",-2.6738,0.1077,"428,735",606.67,1.74,3.85,3.85,291,6448641,82.12,-0.42,-0.24,0.32,57.49,57.51,1.1221,1.1888,"2,094,231",26.67
1303 南亞,2013/3/15,54.7,55.3,52.5,52.5,"31,142",-3.8462,0.3966,"412,245",583.33,1.67,4,4,291,6448641,82.12,-0.42,-0.24,0.32,57.17,57.51,1.1728,1.1936,"2,089,063",26.6
1303 南亞,2013/3/18,52.5,53.1,52.3,53,"6,321",0.9524,0.0805,"416,171",588.89,1.69,3.96,3.96,291,6448641,82.12,-0.42,-0.24,0.32,56.92,57.5,1.081,1.168,"2,087,538",26.58
1303 南亞,2013/3/19,52.7,53.2,52.1,52.6,"6,498",-0.7547,0.0828,"413,030",584.44,1.68,3.99,3.99,291,6448641,82.12,-0.42,-0.24,0.32,56.63,57.44,1.0744,1.1651,"2,084,799",26.55
