證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
9908 大台北,2013/1/2,20.95,21,20.75,20.9,303,-0.2387,0.0587,"10,791",16.59,1.27,4.78,4.78,69,"394,861",76.47,7.74,5.81,1.2,20.51,20.05,0.3644,0.2404,"19,370",3.75
9908 大台北,2013/1/3,21,21,20.85,20.85,126,-0.2392,0.0244,"10,766",16.55,1.27,4.8,4.8,69,394861,76.47,7.74,5.81,1.2,20.54,20.05,0.3336,0.2415,"19,378",3.75
9908 大台北,2013/1/4,20.85,20.95,20.7,20.75,167,-0.4796,0.0323,"10,714",16.47,1.27,4.82,4.82,69,394861,76.47,7.74,5.81,1.2,20.57,20.05,0.3385,0.2426,"19,362",3.74
9908 大台北,2013/1/7,20.75,20.9,20.6,20.9,125,0.7229,0.0242,"10,791",16.59,1.27,4.78,4.78,69,394861,76.47,7.74,5.81,1.2,20.61,20.06,0.3249,0.2406,"19,330",3.74
9908 大台北,2013/1/8,20.7,20.95,20.7,20.9,115,0,0.0223,"10,791",16.59,1.27,4.78,4.78,69,394861,76.47,7.74,5.81,1.2,20.65,20.07,0.3308,0.2405,"19,309",3.73
9908 大台北,2013/1/9,20.8,20.95,20.8,20.95,80,0.2392,0.0155,"10,817",16.63,1.28,4.77,4.77,69,394861,76.47,7.74,5.81,1.2,20.69,20.08,0.3364,0.2397,"19,308",3.73
9908 大台北,2013/1/10,20.95,21,20.9,21,163,0.2387,0.0316,"10,843",16.67,1.28,4.76,4.76,69,394861,76.47,7.74,5.81,1.2,20.74,20.09,0.3347,0.2385,"19,337",3.74
9908 大台北,2013/1/11,21,21,20.95,20.95,169,-0.2381,0.0327,"10,817",16.63,1.28,4.77,4.77,69,394861,76.47,7.74,5.81,1.2,20.78,20.1,0.3414,0.2385,"19,363",3.74
9908 大台北,2013/1/14,20.95,21,20.75,21,211,0.2387,0.0409,"10,843",16.67,1.28,4.76,4.76,69,394861,76.47,7.74,5.81,1.2,20.8,20.11,0.3295,0.2384,"19,360",3.74
9908 大台北,2013/1/15,21,21.1,21,21.1,204,0.4762,0.0395,"10,895",16.75,1.29,4.74,4.74,69,394861,76.47,7.74,5.81,1.2,20.82,20.13,0.3151,0.2364,"19,358",3.74
9908 大台北,2013/1/16,21,21.05,20.8,20.85,227,-1.1848,0.044,"10,766",16.55,1.27,4.8,4.8,69,394861,76.47,7.74,5.81,1.2,20.84,20.15,0.3327,0.2399,"19,293",3.73
9908 大台北,2013/1/17,21,21,20.6,20.75,216,-0.4796,0.0418,"10,714",16.47,1.27,4.82,4.82,69,394861,76.47,7.74,5.81,1.2,20.84,20.17,0.3327,0.2427,"19,294",3.73
9908 大台北,2013/1/18,20.75,20.9,20.75,20.9,152,0.7229,0.0294,"10,791",16.59,1.27,4.78,4.78,69,394861,76.47,7.74,5.81,1.2,20.86,20.19,0.3392,0.2447,"19,292",3.73
9908 大台北,2013/1/21,20.9,20.95,20.8,20.95,152,0.2392,0.0294,"10,817",16.63,1.28,4.77,4.77,69,394861,76.47,7.74,5.81,1.2,20.88,20.22,0.3427,0.2445,"19,295",3.73
9908 大台北,2013/1/22,21,21,20.85,21,144,0.2387,0.0279,"10,843",16.67,1.28,4.76,4.76,69,394861,76.47,7.74,5.81,1.2,20.9,20.25,0.3383,0.2446,"19,290",3.73
9908 大台北,2013/1/23,21,21.05,20.9,21.05,233,0.2381,0.0451,"10,869",16.71,1.28,4.75,4.75,69,394861,76.47,7.74,5.81,1.2,20.92,20.28,0.3213,0.2444,"19,292",3.73
9908 大台北,2013/1/24,21.05,21.05,20.85,20.9,148,-0.7126,0.0287,"10,791",16.59,1.27,4.78,4.78,69,394861,76.47,7.74,5.81,1.2,20.92,20.31,0.3173,0.2462,"19,246",3.72
9908 大台北,2013/1/25,20.85,20.9,20.8,20.8,159,-0.4785,0.0308,"10,740",16.51,1.27,4.81,4.81,69,394861,76.47,7.74,5.81,1.2,20.92,20.34,0.3097,0.2469,"19,190",3.71
9908 大台北,2013/1/28,20.8,21,20.8,20.9,213,0.4808,0.0413,"10,791",16.59,1.27,4.78,4.78,69,394861,76.47,7.74,5.81,1.2,20.92,20.36,0.2593,0.2475,"19,200",3.71
9908 大台北,2013/1/29,20.9,20.95,20.85,20.95,148,0.2392,0.0287,"10,817",16.63,1.28,4.77,4.77,69,394861,76.47,7.74,5.81,1.2,20.92,20.39,0.2411,0.2469,"19,211",3.72
9908 大台北,2013/1/30,20.95,21,20.9,21,167,0.2387,0.0323,"10,843",16.67,1.28,4.76,4.76,69,394861,76.47,7.74,5.81,1.2,20.92,20.41,0.2221,0.2453,"19,277",3.73
9908 大台北,2013/1/31,21,21,20.85,20.9,153,-0.4762,0.0296,"10,791",16.59,1.27,4.78,4.78,69,394861,76.47,7.74,5.81,1.2,20.92,20.43,0.2125,0.2458,"19,250",3.72
9908 大台北,2013/2/1,21,21,20.85,21,99,0.4785,0.0192,"10,843",16.67,1.28,4.76,4.76,69,"395,592",76.61,7.74,5.81,1.2,20.94,20.45,0.2107,0.2462,"19,242",3.72
9908 大台北,2013/2/4,20.95,21.2,20.9,21.2,452,0.9524,0.0875,"10,946",16.83,1.29,4.72,4.72,69,395592,76.61,7.74,5.81,1.2,20.95,20.48,0.215,0.2444,"19,239",3.72
9908 大台北,2013/2/5,21.1,21.8,20.9,21.7,591,2.3585,0.1145,"11,204",17.22,1.32,4.61,4.61,69,395592,76.61,7.74,5.81,1.2,20.99,20.51,0.1737,0.2394,"19,220",3.72
9908 大台北,2013/2/6,21.7,21.7,21.5,21.6,215,-0.4608,0.0416,"11,153",17.14,1.32,4.63,4.63,69,395592,76.61,7.74,5.81,1.2,21.03,20.54,0.1641,0.2374,"19,225",3.72
9908 大台北,2013/2/18,21.7,21.9,21.35,21.4,169,-0.9259,0.0327,"11,050",16.98,1.3,4.67,4.67,69,395592,76.61,7.74,5.81,1.2,21.05,20.57,0.1525,0.233,"19,200",3.71
9908 大台北,2013/2/19,21.6,21.6,21.3,21.3,237,-0.4673,0.0459,"10,998",16.9,1.3,4.69,4.69,69,395592,76.61,7.74,5.81,1.2,21.06,20.59,0.1512,0.2324,"19,181",3.71
9908 大台北,2013/2/20,21.5,21.5,21.3,21.45,283,0.7042,0.0548,"11,075",17.02,1.31,4.66,4.66,69,395592,76.61,7.74,5.81,1.2,21.09,20.62,0.1609,0.234,"19,190",3.71
9908 大台北,2013/2/21,21.45,21.5,21.3,21.35,179,-0.4662,0.0347,"11,024",16.94,1.3,4.68,4.68,69,395592,76.61,7.74,5.81,1.2,21.1,20.65,0.1446,0.2339,"19,229",3.72
9908 大台北,2013/2/22,21.35,21.55,21.35,21.35,236,0,0.0457,"11,024",16.94,1.3,4.68,4.68,69,395592,76.61,7.74,5.81,1.2,21.12,20.68,0.1442,0.2354,"19,263",3.73
9908 大台北,2013/2/23,21.5,21.6,21.4,21.6,104,1.171,0.0201,"11,153",17.14,1.32,4.63,4.63,69,395592,76.61,7.74,5.81,1.2,21.17,20.72,0.1647,0.238,"19,263",3.73
9908 大台北,2013/2/25,21.6,21.6,21.3,21.4,281,-0.9259,0.0544,"11,050",16.98,1.3,4.67,4.67,69,395592,76.61,7.74,5.81,1.2,21.19,20.75,0.1897,0.2402,"19,251",3.72
9908 大台北,2013/2/26,21.35,21.4,21.25,21.4,244,0,0.0473,"11,050",16.98,1.3,4.67,4.67,69,395592,76.61,7.74,5.81,1.2,21.21,20.77,0.17,0.2398,"19,306",3.73
9908 大台北,2013/2/27,21.4,21.6,21.3,21.6,283,0.9346,0.0548,"11,153",17.14,1.32,4.63,4.63,69,395592,76.61,7.74,5.81,1.2,21.24,20.8,0.1749,0.2406,"19,472",3.77
9908 大台北,2013/3/1,21.6,21.6,21.45,21.5,245,-0.463,0.0474,"11,101",17.06,1.31,4.65,4.65,69,"396,151",76.72,7.74,5.81,1.2,21.26,20.83,0.1265,0.23,"19,505",3.77
9908 大台北,2013/3/4,21.5,21.6,21.2,21.25,308,-1.1628,0.0596,"10,972",16.87,1.3,4.71,4.71,69,396151,76.72,7.74,5.81,1.2,21.28,20.85,0.178,0.2366,"19,398",3.75
9908 大台北,2013/3/5,21.4,21.45,21.2,21.45,168,0.9412,0.0325,"11,075",17.02,1.31,4.66,4.66,69,396151,76.72,7.74,5.81,1.2,21.32,20.88,0.1982,0.2357,"19,377",3.75
9908 大台北,2013/3/6,21.45,21.6,21.3,21.4,196,-0.2331,0.038,"11,050",16.98,1.3,4.67,4.67,69,396151,76.72,7.74,5.81,1.2,21.34,20.9,0.1916,0.2389,"19,397",3.75
9908 大台北,2013/3/7,21.5,21.55,21.4,21.55,170,0.7009,0.0329,"11,127",17.1,1.31,4.64,4.64,69,396151,76.72,7.74,5.81,1.2,21.37,20.92,0.1972,0.2393,"19,400",3.75
9908 大台北,2013/3/8,21.55,21.55,21.45,21.5,132,-0.232,0.0256,"11,101",17.06,1.31,4.65,4.65,69,396151,76.72,7.74,5.81,1.2,21.39,20.94,0.186,0.2394,"19,413",3.75
9908 大台北,2013/3/11,21.5,21.7,21.45,21.7,363,0.9302,0.0703,"11,204",17.22,1.32,4.61,4.61,69,396151,76.72,7.74,5.81,1.2,21.44,20.97,0.1908,0.2412,"19,387",3.75
9908 大台北,2013/3/12,21.7,21.7,21.5,21.6,203,-0.4608,0.0393,"11,153",17.14,1.32,4.63,4.63,69,396151,76.72,7.74,5.81,1.2,21.47,20.99,0.2052,0.2461,"19,386",3.75
9908 大台北,2013/3/13,21.6,21.6,21.5,21.55,119,-0.2315,0.023,"11,127",17.1,1.31,4.64,4.64,69,396151,76.72,7.74,5.81,1.2,21.48,21.01,0.2074,0.2453,"19,402",3.75
9908 大台北,2013/3/14,21.5,21.65,21.5,21.55,117,0,0.0227,"11,127",17.1,1.31,4.64,4.64,69,396151,76.72,7.74,5.81,1.2,21.48,21.04,0.2674,0.2412,"19,410",3.75
9908 大台北,2013/3/15,21.6,21.65,21.55,21.55,277,0,0.0536,"11,127",17.1,1.31,4.64,4.64,69,396151,76.72,7.74,5.81,1.2,21.47,21.06,0.2673,0.2412,"19,424",3.76
9908 大台北,2013/3/18,21.5,21.65,21.5,21.6,141,0.232,0.0273,"11,153",17.14,1.32,4.63,4.63,69,396151,76.72,7.74,5.81,1.2,21.48,21.09,0.2797,0.2402,"19,405",3.75
