證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
1312 國喬,2013/1/2,15.45,15.55,15.3,15.5,"4,275",1.3072,0.4715,"14,052",9.01,1,4.52,4.52,85,"578,186",63.77,11.57,7.91,2.03,15.24,14.94,1.0547,0.9905,"184,730",19.93
1312 國喬,2013/1/3,15.6,15.8,15.55,15.65,"7,346",0.9677,0.8103,"14,188",9.1,1.01,4.47,4.47,85,578186,63.77,11.57,7.91,2.03,15.26,14.96,1.0462,1,"183,705",19.82
1312 國喬,2013/1/4,15.75,16.1,15.6,15.9,"13,477",1.5974,1.4865,"14,415",9.24,1.03,4.4,4.4,85,578186,63.77,11.57,7.91,2.03,15.28,14.98,1.0213,0.9978,"182,547",19.7
1312 國喬,2013/1/7,16,16.65,15.9,16.35,"17,175",2.8302,1.8944,"14,823",9.51,1.06,4.28,4.28,85,578186,63.77,11.57,7.91,2.03,15.34,15,0.9657,0.9741,"181,530",19.59
1312 國喬,2013/1/8,16.4,16.4,15.75,15.8,"8,685",-3.3639,0.958,"14,324",9.19,1.02,4.43,4.43,85,578186,63.77,11.57,7.91,2.03,15.36,15.02,1.0036,0.9801,"179,892",19.41
1312 國喬,2013/1/9,15.7,15.95,15.65,15.8,"6,160",0,0.6794,"14,324",9.19,1.02,4.43,4.43,85,578186,63.77,11.57,7.91,2.03,15.38,15.03,0.9933,0.9779,"178,678",19.28
1312 國喬,2013/1/10,15.9,16.05,15.75,15.75,"6,106",-0.3165,0.6735,"14,279",9.16,1.02,4.44,4.44,85,578186,63.77,11.57,7.91,2.03,15.4,15.04,0.9651,0.9719,"176,921",19.09
1312 國喬,2013/1/11,15.8,15.9,15.5,15.5,"6,596",-1.5873,0.7275,"14,052",9.01,1,4.52,4.52,85,578186,63.77,11.57,7.91,2.03,15.39,15.05,1.0005,0.9715,"173,576",18.73
1312 國喬,2013/1/14,15.5,15.7,15.35,15.65,"2,997",0.9677,0.3306,"14,188",9.1,1.01,4.47,4.47,85,578186,63.77,11.57,7.91,2.03,15.4,15.06,1.0014,0.9718,"173,590",18.73
1312 國喬,2013/1/15,15.65,15.75,15.5,15.6,"2,305",-0.3195,0.2542,"14,143",9.07,1.01,4.49,4.49,85,578186,63.77,11.57,7.91,2.03,15.41,15.07,0.9944,0.9706,"173,069",18.67
